"Election","Electorate","Area","Booth","Green Party","Labour Party","National Party","New Zealand First Party","Total Valid Party Votes"
2014,"Hauraki-Waikato","Motumaoho","Motumaoho School, 2085 State Highway 26",0,0.2857142857,0.2857142857,0.2857142857,7
2014,"Hauraki-Waikato","Ohinewai","Ohinewai School, 39 Ohinewai South Road",0,0.3333333333,0.3333333333,0.3333333333,6
2014,"Hauraki-Waikato","Onewhero","Onewhero Area School, Hall Road",0,0.5,0,0.4166666667,12
2014,"Hauraki-Waikato","Orini","Orini Combined School, 1389 Orini Road ",0,0.6153846154,0.0769230769,0.0769230769,13
2014,"Hauraki-Waikato","Puketaha","Puketaha School, 395 Puketaha Road",0,0,0.5,0.3333333333,6
2014,"Hauraki-Waikato","Rangiriri","Rangiriri School, 39 Rangiriri Road",0,0.2222222222,0.1111111111,0.3333333333,18
2014,"Hauraki-Waikato","Ruawaro","Central Districts Memorial Hall, 757 Hetherington Roads",0,0,0.4285714286,0.5714285714,7
2014,"Hauraki-Waikato","Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",0,0.3076923077,0.0769230769,0.0769230769,13
2014,"Hauraki-Waikato","Wardville","Wairere School, Wardville Road",0,0.1428571429,0.1428571429,0.5714285714,7
2014,"Hauraki-Waikato","Whitikahu","Whitikahu School, 763 Whitikahu Road",0,0.1,0.2,0.2,10
2011,"East Coast Bays","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Tāmaki Makaurau","Herne Bay","Marist School, 82 Kelmarna Avenue",0,0,0.4,0,5
2011,"Tāmaki Makaurau","Botany Downs","Elim Christian Centre, 159 Botany Road",0,0.2307692308,0.3076923077,0.1538461538,13
2011,"Tāmaki Makaurau","Burswood","East City Wesleyan Church, 219 Burswood Drive",0,0.3,0.4,0.2,10
2011,"Tāmaki Makaurau","Howick","Cockle Bay School, 24 Sandspit Road",0,0.2857142857,0.4285714286,0.1428571429,21
2011,"Tāmaki Makaurau","Somerville","Somerville Intermediate School, 39 Somerville Road",0,0.2727272727,0.4545454545,0.0909090909,11
2011,"Tāmaki Makaurau","Remuera","Victoria Avenue School, 250 Victoria Avenue",0,0.5555555556,0.4444444444,0,9
2011,"Tāmaki Makaurau","Mangere","Sir Douglas Bader Intermediate School, 4 Court Town Close",0,0.6666666667,0,0.1666666667,12
2011,"Tāmaki Makaurau","Papatoetoe","Manukau Indian Association Hall, 57 Hillside Road",0,0.3863636364,0.0227272727,0.2045454545,44
2011,"Tāmaki Makaurau","Papatoetoe","Whitehaven Pensioners Flats Hall, 146 Kolmar Road",0,0.2916666667,0,0.2083333333,24
2011,"Tāmaki Makaurau","Hillsborough","Hillsborough Baptist Church, 179 Hillsborough Road",0,0.1666666667,0.5833333333,0.25,12
2011,"Tāmaki Makaurau","Hillsborough","St Margaret's Anglican Church, 102 Hillsborough Road",0,0.3846153846,0.1538461538,0.0769230769,13
2011,"Tāmaki Makaurau","Lynfield","Halsey Drive Primary School, 106 Halsey Drive",0,0.5,0,0.25,8
2011,"Tāmaki Makaurau","Mt Roskill","Christ The King Parish School Hall, 288 Richardson Road",0,0.52,0.08,0.08,25
2011,"Tāmaki Makaurau","Mt Roskill","Dominion Road School, 1 Quest Terrace",0,0.6666666667,0.037037037,0.1111111111,27
2011,"Tāmaki Makaurau","Mt Roskill","Marshall Laing Primary School, 39 Marshall Laing Avenue",0,0.6666666667,0.1111111111,0.1111111111,9
2011,"Tāmaki Makaurau","Mt Roskill","May Road School, 504 Richardson Road",0,0.475,0.025,0.2,40
2011,"Tāmaki Makaurau","Mt Roskill","St Giles Presbyterian Church, 1207 Dominion Road",0,0.6666666667,0.0555555556,0.1111111111,18
2011,"Tāmaki Makaurau","Avondale","Liberty Christian Church, 96 Lansford Crescent",0,0.3333333333,0.2666666667,0.0666666667,15
2011,"Tāmaki Makaurau","Bucklands Beach","Bucklands Beach Primary School, 107 Clovelly Road",0,0,0.4285714286,0.2857142857,7
2011,"Tāmaki Makaurau","Bucklands Beach","Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",0,0,0.7777777778,0,9
2011,"Tāmaki Makaurau","Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",0,0.1428571429,0.4285714286,0.1428571429,7
2011,"Tāmaki Makaurau","Papakura","Cosgrove School, 10 Cosgrove Road",0,0.6,0,0.1,10
2011,"Tāmaki Makaurau","Takanini","Takanini School Hall, 39 Takanini School Road ",0,0.625,0,0.0625,16
2011,"Tāmaki Makaurau","Remuera","Baptist Church Hall, 641 Remuera Road",0,0.2222222222,0.4444444444,0.2222222222,9
2011,"Tāmaki Makaurau","St Heliers","St Philips Church Hall, corner Tuhimata Street & St Heliers Bay Road",0,0.3333333333,0.3333333333,0.1111111111,9
2011,"Tāmaki Makaurau","Stonefields","Stonefields School, 81 Tihi Street",0,0.2222222222,0.6666666667,0,9
2011,"Tāmaki Makaurau","Waiatarua","Waiatarua Community Hall, 911 West Coast Road",0,0,0.6,0.4,5
2011,"Auckland Central","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"West Coast-Tasman","Bruce Bay","Bruce Bay Hall, State Highway 6",0,0.1315789474,0.7894736842,0.0263157895,38
2014,"West Coast-Tasman","Whataroa","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Auckland Central","Westmere","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Maungakiekie","Mt Roskill","Sunnydene Special School, 48 Smallfield Avenue",0,0.5555555556,0.3333333333,0.1111111111,9
2011,"Maungakiekie","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"New Lynn","Lynfield","Lynfield College School, 191 White Swan Road (main entrance)",0,0.4102564103,0.4871794872,0.0256410256,117
2011,"New Lynn","Mt Roskill","May Road School, 504 Richardson Road",0,0.3928571429,0.3928571429,0.0714285714,28
2011,"New Lynn","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Mt Roskill","Blockhouse Bay","Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",0,0.2222222222,0.6666666667,0,9
2014,"Mt Roskill","Blockhouse Bay","Blockhouse Bay Community Church, 76 Dundale Avenue",0,0.5333333333,0.4,0,15
2014,"Mt Roskill","Three Kings","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Tauranga","Welcome Bay","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"New Plymouth","Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",0,0.0535714286,0.7678571429,0.1607142857,56
2014,"New Plymouth","Warea","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Ikaroa-Rāwhiti","Rere","Rere School, 3294 Wharekopae Road",0,0.5714285714,0.2857142857,0,7
2011,"Ikaroa-Rāwhiti","Greenmeadows","Greenmeadows Game Farm, 22 Burness Road",0,0.6666666667,0,0.1111111111,9
2011,"Ikaroa-Rāwhiti","Kotemaori ","Kotemaori School, State Highway 2",0,0.625,0.125,0.125,8
2011,"Ikaroa-Rāwhiti","Ruakituri","Ruakituri School, 1607 Ruakituri Valley Road, RD5",0,0.5,0.375,0.125,8
2011,"Ikaroa-Rāwhiti","Tutira","Tutira School, 29 Matahorua Road",0,0.7142857143,0.1428571429,0.1428571429,7
2011,"Ikaroa-Rāwhiti","Upper Hutt","St Hilda's Church Hall, 35 Cruickshank Road",0,0.6875,0.125,0,16
2011,"Ikaroa-Rāwhiti","Upper Hutt","St Josephs School Hall, 24 Royal Street",0,0.65,0,0.1,20
2011,"Ikaroa-Rāwhiti","Havelock North","St Columbas Hall, Te Mata Road",0,0.2857142857,0.3571428571,0.0714285714,14
2011,"Ikaroa-Rāwhiti","Poukawa","Poukawa School, 107 Poukawa Road",0,0.3636363636,0.0454545455,0.1363636364,22
2011,"Ikaroa-Rāwhiti","Pukahu","Riverbend Bible Church, 354 Te Aute Road",0,0.2857142857,0.1428571429,0.4285714286,7
2011,"Ikaroa-Rāwhiti","Dannevirke","Dannevirke High School Canteen, Grant Street",0,0.5454545455,0,0.1818181818,11
2011,"Ikaroa-Rāwhiti","Gladstone","Gladstone School Hall, Te Whiti Road",0,0.375,0.125,0.0625,16
2011,"Ikaroa-Rāwhiti","Masterton","Solway School Hall, 318 Ngaumutawa Road",0,0.4333333333,0.1666666667,0.1,30
2011,"Ikaroa-Rāwhiti","Weber","Weber School, Dannevirke-Weber Road",0,0,0.4,0.4,5
2011,"Helensville","Henderson","Waitakere College, 42 Rathgar Road",0,0.5,0.5,0,10
2011,"Helensville","Wainui","Wainui School, 492 Waitoki Road",0,0,1,0,7
2011,"Helensville","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Northland","Matawaia","Matawaia Kohanga Reo, Matawaia Road",0,0.1111111111,0.2222222222,0.3333333333,9
2011,"Northland","Maunu","Maunu Primary School, 13 Austins Road",0,0.4444444444,0.5555555556,0,9
2011,"Northland","Omana","Omana Settlers' Hall, Girls High School Road",0,0.0526315789,0.6315789474,0.1052631579,19
2011,"Northland","Te Hapua","Te Hapua School, 14 Waharua Road",0,0.5454545455,0,0.1818181818,11
2011,"Northland","Other Vote","Polling places where less than 6 votes were taken",0,0.75,0,0,4
2011,"Waimakariri","Akaroa","Akaroa Sports Centre, Rue Jolie",0,0.0588235294,0.5882352941,0.1176470588,17
2011,"Waimakariri","Other Vote","Polling places where less than 6 votes were taken",0,0.4,0.6,0,5
2011,"Wigram","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Bay of Plenty","Whakamarama","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Rodney","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Napier","Mohaka","Mohaka School, Mohaka Coast Road",0,0.1904761905,0.380952381,0.2380952381,21
2014,"Napier","Westshore ","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Botany","Otara","East Tamaki Primary School, 196 Preston Road",0,0.7391304348,0.1195652174,0.0543478261,92
2014,"Botany","Pakuranga","Pakuranga Recreation & Youth Centre, 13c Reeves Road",0,0.1875,0.578125,0.078125,64
2014,"Botany","Whitford","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Manurewa","Manurewa","Elmwood Village Community Centre, 131 Hill Road",0,0.2051282051,0.641025641,0.1282051282,39
2014,"Manurewa","Papatoetoe","Papatoetoe South School, 60 Milan Road (Kenderdine Road entrance)",0,0.59375,0.28125,0.09375,32
2014,"Manurewa","Weymouth","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Tukituki","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"Māngere","Otara","Otara Leisure Centre, Seminar Room, 115 Bairds Road ",0,0.7037037037,0.2222222222,0.0740740741,27
2014,"Māngere","Papatoetoe","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Whangarei","Whangarei Heads","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Waimakariri","Papanui","The Village Presbyterian Church Hall, corner Papanui Road & Frank Street",0,0.0769230769,0.7692307692,0.0769230769,13
2014,"Waimakariri","Woodend","Voting places where less than 6 votes were taken",0,0,0.3333333333,0.3333333333,3
2014,"Hamilton West","Koromatua","Koromatua School, 355 Koromatua Road",0,0.1428571429,0.3571428571,0.2857142857,28
2014,"Hamilton West","Whatawhata","Whatawhata School, 9 Kura Street ",0,0.0625,0.6875,0.1875,16
2014,"Hamilton West","Whitiora","Voting places where less than 6 votes were taken",0,0,0,0,0
2011,"Hunua","Flat Bush","Baverstock Oaks School, 21 Baverstock Road",0,0.2738853503,0.6369426752,0.025477707,157
2011,"Hunua","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Wairarapa","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2014,"North Shore","Takapuna","Voting places where less than 6 votes were taken",0,0,0,0,0
2014,"Te Tai Tokerau","Albany","Albany Primary School, 6 Bass Road",0,0.1176470588,0.4705882353,0.2352941176,17
2014,"Te Tai Tokerau","Browns Bay","Progress Hall (under Bays Club),  6 Anzac Road",0,0,0.25,0.375,8
2014,"Te Tai Tokerau","Parakai","Parakai School, 10 Fordyce Road",0,0.2888888889,0.2444444444,0.3111111111,45
2014,"Te Tai Tokerau","Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",0,0.1111111111,0.4444444444,0.1111111111,9
2014,"Te Tai Tokerau","Castor Bay","Wat Phra Dhammakaya Hall, corner Seaview Road & Katui Street",0,0.1428571429,0.5714285714,0,7
2014,"Te Tai Tokerau","Hauraki","Hauraki School, 82 Jutland Road",0,0.2,0.2666666667,0.2666666667,15
2014,"Te Tai Tokerau","Mairangi Bay","Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",0,0.5,0.3,0.2,10
2014,"Te Tai Tokerau","Northcote","Sunnybrae Normal School, 36 Sunnybrae Road",0,0.2916666667,0.25,0.0416666667,24
2014,"Te Tai Tokerau","Awarua","Te Hurihi Marae, Mangakahia Road",0,0.5,0,0.125,8
2014,"Te Tai Tokerau","Fairburn","Fairburn Hall, Main Fairburn-Peria Road",0,0.1111111111,0.1111111111,0.4444444444,9
2014,"Te Tai Tokerau","Hukerenui","Hukerenui School, 9 Crows Nest Road",0,0.1666666667,0.1666666667,0.3333333333,12
2014,"Te Tai Tokerau","Karetu","Karetu School, Kura Road",0,0.8181818182,0,0.0606060606,33
2014,"Te Tai Tokerau","Pamapuria","Pamapuria School, 6970 State Highway 1",0,0.4864864865,0.0810810811,0.0810810811,37
2014,"Te Tai Tokerau","Port Albert","Port Albert Hall, 980 Port Albert Road",0,0.3333333333,0,0.3333333333,6
2014,"Te Tai Tokerau","Pouto","Rangitane Community Centre, Pouto Road",0,0.1176470588,0,0.4705882353,17
2014,"Te Tai Tokerau","Punaruku","Whangaruru School, 2916 Old Russell Road",0,0.4736842105,0.0526315789,0.0526315789,19
2014,"Te Tai Tokerau","Ruawai","Ruawai Primary School, Main Road",0,0.4117647059,0.0882352941,0.2941176471,34
2014,"Te Tai Tokerau","Te Iringa","Te Iringa Marae, Waimatenui Road",0,0.5666666667,0,0.1666666667,30
2014,"Te Tai Tokerau","Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",0,0.2222222222,0,0.2222222222,9
2014,"Te Tai Tokerau","Waimate North","Sunday School, Te Ahu Ahu Road",0,0.4705882353,0.1764705882,0.2352941176,17
2014,"Te Tai Tokerau","Orewa","Orewa Primary School, 86 Maire Road",0,0.2222222222,0.2222222222,0,9
2014,"Te Tai Tokerau","Point Wells","Point Wells Community Hall, 5 Point Wells Road",0,0,0.5,0.3333333333,6
2014,"Te Tai Tokerau","Greenhithe","St Michael's Anglican Church Hall, 12 Greenhithe Road",0,0.25,0.625,0,8
2014,"Te Tai Tokerau","Glenbervie","Glenbervie School, 151 Ngunguru Road",0,0.2307692308,0.1153846154,0.2692307692,26
2014,"Te Tai Tokerau","Kamo","Jane Mander Retirement Village, 262 Fairway Drive",0,0.1,0.5,0.2,10
2014,"Te Tai Tokerau","Ngararatanua","Regent Training Centre, Pipiwai Road",0,0.2142857143,0.1428571429,0.3214285714,28
2014,"Te Tai Tokerau","Springs Flat","Alive Christian Fellowship, 55 Great North Road",0,0.5,0,0.1666666667,12
2014,"Te Tai Tokerau","Tamaterau","Tamaterau Hall, Whangarei Heads Road",0,0.625,0,0.125,8
2014,"Te Tai Tokerau","Tauraroa","Tauraroa Area School, Omana Road",0,0.625,0,0.125,8
2011,"Manurewa","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Manurewa","Other Vote","Ordinary Votes BEFORE polling day - Taken in Papakura",0,0.2142857143,0.3571428571,0.2142857143,14
2011,"Kaikōura","Other Vote","Polling places where less than 6 votes were taken",0,0,0,0,0
2011,"Te Tai Tokerau","Great Barrier Island","Okiwi School, Aotea Road",0,0.3333333333,0.0833333333,0,12
2011,"Te Tai Tokerau","Great Barrier Island","Tryphena Mulberry Grove School, Shoal Bay Road",0,0.375,0.125,0,8
2011,"Te Tai Tokerau","Albany","Oteha Valley School, corner Oteha Valley Road & Medallion Drive",0,0.2222222222,0.4444444444,0.1111111111,9
2011,"Te Tai Tokerau","Browns Bay","Progress Hall, (under Bays Club)  6 Anzac Road",0,0.1428571429,0.4285714286,0.1428571429,7
2011,"Te Tai Tokerau","Long Bay","Long Bay Baptist Church, 282 Glenvar Road",0,0,0.6,0.2,10
2011,"Te Tai Tokerau","Mairangi Bay","Rangitoto College, 564 East Coast Road",0,0.3333333333,0.4444444444,0.2222222222,9
2011,"Te Tai Tokerau","Torbay","Torbay Senior Citizens Club, Torbay Shopping Centre, 37 Watea Road",0,0.0909090909,0.1818181818,0.0909090909,11
2011,"Te Tai Tokerau","Albany","Upper Harbour Primary School, 140 Kyle Road",0,0,0.75,0,8
2011,"Te Tai Tokerau","Glenfield","Bayview Primary School, 60 Bayview Road",0,0.28,0.12,0.08,25
2011,"Te Tai Tokerau","Herald Island","Herald Island Community Hall, 57 Ferry Parade",0,0.1666666667,0.5,0,6
2011,"Te Tai Tokerau","Parakai","Haranui Marae, Haranui Road",0,0.25,0.125,0.0625,16
