Electorate Number #,Electorate Name,Polling Place ID,Polling Place Suburb,Polling Place Address,NZTM2000 Easting,NZTM2000 Northing
1,Auckland Central,2896,Ponsonby,"St Mary's College (Stella Maris Old School Hall), 11 New Street",1755926.957,5920809.604
1,Auckland Central,3149,Waiheke Island,"Te Huruhi School, 7 Donald Bruce Road",1780940.587,5925472.696
1,Auckland Central,3150,Great Barrier Island,"Great Barrier Island Community Health Centre, 80 Hector Sanderson Road",1821518.875,5986261.979
1,Auckland Central,3620,Mechanics Bay,"Auckland Marine Rescue Centre, 3 Solent Street",1759453.149,5920580.758
1,Auckland Central,3644,Westmere,"Hawke Sea Scouts Hall, 55 West End Road",1753830.112,5920331.412
1,Auckland Central,3805,Freemans Bay,"Freemans Bay Community Centre Auditorium, 52 Hepburn Street",1756132.56,5920008.088
1,Auckland Central,3809,Waiheke Island,"Waiheke Primary School, 26 Seaview Road",1783221.897,5926312.463
1,Auckland Central,3829,Waiheke Island,"Surfdale Community Hall, 6 Hamilton Road",1780420.936,5926262.634
1,Auckland Central,3830,Grey Lynn,"St Joseph's School Hall, 456 Great North Road",1755086.802,5918444.116
1,Auckland Central,3839,Ponsonby,"Ponsonby Community Centre, 20 Ponsonby Terrace",1755319.98,5920329.419
1,Auckland Central,3855,Auckland City,"AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street ",1757557.628,5919917.973
2,Bay of Plenty,184,Kaimai,"Kaimai School, 1853 State Highway 29",1866291.612,5810620.468
2,Bay of Plenty,187,Matapihi,"Te Kura o Matapihi, 398 Matapihi Road",1881650.839,5822982.31
2,Bay of Plenty,189,Maungatapu,"Maungatapu Free Kindergarten, 187 Te Hono Street",1880576.368,5820993.154
2,Bay of Plenty,190,Maungatapu,"Maungatapu School, 164 Maungatapu Road",1879734.925,5820297.295
2,Bay of Plenty,191,Ohauiti,"Ohauiti Settlers Hall, 459 Ohauiti Road",1879522.197,5815721.777
2,Bay of Plenty,192,Oropi,"Oropi School, 1334 Oropi Road",1878004.408,5807336.577
2,Bay of Plenty,196,Papamoa,"Papamoa Primary School, 312 Dickson Road",1892134.444,5821201.343
2,Bay of Plenty,197,Papamoa,"Tahatai Coast School, 45 Evans Road",1887451.383,5823348.187
2,Bay of Plenty,201,Pyes Pa,"Pyes Pa School, 978 Pyes Pa Road",1874988.332,5809906.615
2,Bay of Plenty,207,Waitangi,"Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",1895787.295,5811982.1
2,Bay of Plenty,208,Welcome Bay,"Baden Powell Hall, 39 Welcome Bay Road",1879687.847,5819712.814
2,Bay of Plenty,209,Welcome Bay,"Welcome Bay School, 309 Welcome Bay Road",1881720.43,5819611.056
2,Bay of Plenty,406,Matakana Island,"Te Kura O Te Moutere O Matakana, 183 Opureora Road ",1872089.694,5833009.051
2,Bay of Plenty,409,Omokoroa,"Omokoroa No. 1 School, 11 Emeny Road",1867375.252,5826165.836
2,Bay of Plenty,410,Omokoroa,"Omokoroa Point School, 37 Hamurana Road",1868468.136,5830235.184
2,Bay of Plenty,414,Pahoia,"Pahoia School, 29 Esdaile Road",1864322.03,5828213.023
2,Bay of Plenty,420,Te Puna,"Te Puna Memorial Hall, Te Puna Road",1870910.82,5823510.983
2,Bay of Plenty,421,Te Puna,"Te Puna School, 225 Te Puna Road",1871343.46,5825715.116
2,Bay of Plenty,2268,Mt Maunganui,"Arataki School, 4 Kaimanawa Street",1884968.352,5825287.477
2,Bay of Plenty,2901,Welcome Bay,"Selwyn Ridge School, 20 Holmburn Street",1880448.5,5819022.572
2,Bay of Plenty,2919,Whakamarama,"Whakamarama Public Hall, 469 Whakamarama Road",1864012.084,5821375.406
2,Bay of Plenty,3400,Mt Maunganui,"Arataki Community Centre, Zambuk Way (off Grenada Street)",1884976.641,5825118.368
2,Bay of Plenty,3522,Te Puke,"Te Puke Memorial Hall, 130 Jellicoe Street",1892882.351,5813025.251
2,Bay of Plenty,3720,Papamoa,"Papamoa Community Centre and Library - Tohora, Tamure and Mako Rooms, 15 Gravatt Road",1889365.5,5822323.598
2,Bay of Plenty,3721,Te Puke,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",1892065.523,5812526.55
2,Bay of Plenty,3802,Papamoa,"Golden Sands Primary School, 26 Golden Sands Drive",1894503.125,5820072.401
2,Bay of Plenty,3947,Papamoa,"Shop 7, Fashion Island, Gravatt Road",1889221.471,5822276.324
3,Botany,458,Dannemora,"Point View Primary School, 25 Kilkenny Drive",1771161.739,5911620.65
3,Botany,907,Shelly Park,"Shelly Park School, 11-13 Sunnyview Avenue",1773269.875,5913546.87
3,Botany,1105,Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",1771286.675,5913153.889
3,Botany,1109,Flat Bush,"Dawson Road Primary School, Haumia Way",1768454.257,5906322.334
3,Botany,1126,Flat Bush,"Kia Aroha College, 51 Othello Drive",1768447.822,5905525.332
3,Botany,1319,Northpark,"Our Lady Star of the Sea School, 14 Oakridge Way",1771336.507,5912236.996
3,Botany,1638,Cockle Bay,"Cockle Bay Playcentre, 17 Pah Road",1773628.458,5914252.593
3,Botany,1639,Howick,"Cockle Bay School, 24 Sandspit Road",1772768.16,5913903.862
3,Botany,2879,Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",1769275.571,5905649.957
3,Botany,2905,Dannemora,"Willowbank School, 56 Middlefield Drive",1770438.789,5909083.228
3,Botany,3160,Botany Downs,"St Columba Presbyterian Church, 480 Ti Rakau Drive",1770186.21,5911389.704
3,Botany,3270,Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",1770188.111,5908416.736
3,Botany,3410,Meadowlands,"Meadowlands Methodist Community Church, 128 Whitford Road",1771816.276,5912850.953
3,Botany,3577,Highland Park,"Rockabye Early Learning Centre, 122 Aviemore Drive",1769834.946,5913527.973
3,Botany,3667,Botany Downs,"Botany Downs Secondary College, 575 Chapel Road",1770584.504,5910737.505
3,Botany,3687,Botany South,"Sancta Maria College, 319 Te Irirangi Drive",1769525.893,5908024.428
3,Botany,3688,Somerville,"Somerville Intermediate School, 39 Somerville Road",1772752.951,5913010.832
3,Botany,3689,Botany Downs,"Elim Christian Centre, 159 Botany Road",1770660.059,5912965.635
3,Botany,3775,Burswood,"East City Wesleyan Church, 219 Burswood Drive",1768760.403,5911805.852
4,Christchurch Central,222,Christchurch City,"Christchurch East School, 311 Gloucester Street",1571405.307,5180318.134
4,Christchurch Central,223,Christchurch City,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",1569793.952,5179810.278
4,Christchurch Central,225,Christchurch City,"HMNZS Pegasus, 419 Montreal Street",1570114.784,5181133.779
4,Christchurch Central,229,Linwood,"Linwood College, 85 Aldwins Road",1573149.653,5179299.586
4,Christchurch Central,230,Linwood,"Linwood Intermediate School, 7 McLean Street",1573578.452,5180313.201
4,Christchurch Central,231,Avonside/Linwood,"Linwood North School, 221 Woodham Road (Rowcliffe Crescent entrance)",1573800.348,5180847.997
4,Christchurch Central,232,Linwood,"St Chad's Anglican Church Hall, corner Carnarvon Street & Buckleys Road",1574060.255,5180501.141
4,Christchurch Central,234,Mairehau,"St Albans Uniting Parish, 262 Knowles St",1570738.469,5183703.81
4,Christchurch Central,235,Mairehau,"Glenmoor School, 96 Philpotts Road",1570599.505,5184419.533
4,Christchurch Central,236,Mairehau,"Mairehau Primary School, 43 Mahars Road",1571135.315,5183727.81
4,Christchurch Central,238,Papanui,"Paparoa Street School, 120 Paparoa Street",1569245.046,5183626.802
4,Christchurch Central,239,Papanui,"Papanui Primary School, 40 Winters Road",1569263.006,5184905.318
4,Christchurch Central,242,Richmond,"Richmond Kindergarten, 41 North Avon Road",1572036.019,5181675.626
4,Christchurch Central,243,Richmond,"Richmond Primary School Hall, 19 Pavitt Street",1572075.018,5181175.821
4,Christchurch Central,246,Shirley,"Hammersley Park School, 102 Quinns Road",1572364.844,5183440.95
4,Christchurch Central,247,Shirley,"MacFarlane Park Free Kindergarten, 19 Acheson Avenue",1572045.966,5183527.909
4,Christchurch Central,249,Shirley,"Shirley Intermediate School, 60 Shirley Road (North Parade entrance)",1572701.732,5182669.257
4,Christchurch Central,250,St Albans,"Rehua Marae, 79 Springfield Road",1570201.732,5181718.557
4,Christchurch Central,254,St Albans,"St Albans Baptist Church, 64 McFaddens Road",1569950.777,5183535.855
4,Christchurch Central,256,St Albans,"Lamb of God Community Hall, 19 Thames Street",1570783.466,5183145.025
4,Christchurch Central,258,St Albans,"St Albans Primary School, 17 Sheppard Place",1570446.611,5182619.218
4,Christchurch Central,2429,Papanui,"St Joseph's School, 4 Vagues Road",1568811.181,5184822.338
4,Christchurch Central,3096,Richmond,"North Avon Baptist Church Hall, 103 North Avon Road",1572369.888,5181680.633
4,Christchurch Central,3268,St Albans,"Beulah Christian Fellowship Church, 140 Springfield Road",1570372.657,5182027.443
4,Christchurch Central,3269,Linwood,"Aspire Canterbury, 314 Worcester Street",1571945.101,5180132.223
4,Christchurch Central,3429,Papanui,"Papanui Baptist Church, 144 Sawyers Arms Road ",1567916.512,5185188.18
4,Christchurch Central,3585,Shirley,"Shirley Primary School, 11 Shirley Road",1572034.991,5182725.219
4,Christchurch Central,3700,St Albans,"The Royal New Zealand Foundation of the Blind, 96 Bristol Street",1569856.855,5182086.406
4,Christchurch Central,3776,Mairehau,"Mairehau High School, 440 Hills Road",1571507.158,5184265.612
4,Christchurch Central,3892,Christchurch City,"ABC Salisbury Street Pre School, 150 Salisbury Street",1571108.4,5181049.841
4,Christchurch Central,3925,Papanui,"St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",1568422.357,5183767.727
4,Christchurch Central,3927,Phillipstown,"Phillipstown Community Centre, 39A Nursery Road",1572284.989,5179458.496
4,Christchurch Central,3929,Christchurch City,"St Michael and All Angels Church School, 249 Durham Street South",1570375.73,5179695.342
5,Christchurch East,261,Aranui,"Aranui Primary School, 257 Breezes Road",1575799.528,5181850.652
5,Christchurch East,263,Aranui,"St James School, 25 Rowan Avenue",1576187.363,5182286.489
5,Christchurch East,264,Avondale,"Avondale Primary School, 132 Breezes Road",1575095.794,5182448.4
5,Christchurch East,265,Avondale,"Woolley Street Kindergarten, 63 Woolley Street",1574939.843,5182987.184
5,Christchurch East,267,Brooklands,"Community Centre Hall, 5 Anfield Street",1575381.547,5194344.785
5,Christchurch East,268,Burwood,"Burwood School, 255 New Brighton Road",1574489.008,5183584.94
5,Christchurch East,269,Burwood,"Burwood Christian Centre, 54 Bassett Street",1574868.848,5184029.774
5,Christchurch East,270,Burwood,"Private Garage, 165 Queensbury Street",1573913.243,5183197.08
5,Christchurch East,273,Burwood,"Windsor School Community Hall, 170 Burwood Road",1574494.979,5184887.431
5,Christchurch East,274,Dallington,"Banks Avenue School, 71 Banks Avenue",1573174.56,5182133.477
5,Christchurch East,277,Kainga,"Kainga Public Hall, Kainga Road",1572798.536,5193654.05
5,Christchurch East,278,New Brighton,"Central New Brighton School, Roy Stokes Hall, 140 Seaview Road",1577721.737,5182735.344
5,Christchurch East,279,North New Brighton,"Freeville School, 11 Sandy Avenue",1576392.247,5183900.854
5,Christchurch East,282,North New Brighton,"North New Brighton School, 150 Leaver Terrace",1577182.928,5184088.795
5,Christchurch East,284,Ouruhia,"Ouruhia School Library, 21 Turners Road",1572498.68,5189762.525
5,Christchurch East,285,Parklands,"Parkview School Hall, 10 Chadbury Street",1576194.294,5185771.114
5,Christchurch East,286,Queenspark,"Queenspark School Hall, 222 Queenspark Drive",1575443.578,5186559.794
5,Christchurch East,288,South New Brighton,"South Brighton Croquet Club Rooms, 132 Union Street",1578109.606,5181568.819
5,Christchurch East,290,Wainoni,"Methodist Church Lounge, 878 Avonside Drive",1574523.04,5181667.694
5,Christchurch East,291,Wainoni,"Wainoni School, 115 Eureka Street",1576426.252,5182970.223
5,Christchurch East,3496,Aranui,"St Ambrose Church, 309 Breezes Road",1575992.456,5181636.742
5,Christchurch East,3497,Wainoni,"Ottawa Gardens Pre-School, 49 Ottawa Road",1574991.86,5181437.796
5,Christchurch East,3499,Dallington,"Dallington Scout Group, 3 Halberg Street",1574164.173,5182011.55
5,Christchurch East,3895,South New Brighton,"South New Brighton School, 166 Estuary Road",1578486.473,5180712.172
5,Christchurch East,3941,Burwood,"ABC Learning Centre, Tumara Park 2, 1 Pohutakawa Crescent, Tumara Park",1574556.93,5186265.896
6,Clutha-Southland,295,Balclutha,"Rosebank School Hall, 21 Frances Street",1347556.859,4873361.549
6,Clutha-Southland,296,Balclutha,"St Andrew's Church Hall, corner Clyde & George Streets",1348453.39,4874287.613
6,Clutha-Southland,297,Balfour,"Balfour School, 131 Queen Street",1257214.318,4913938.736
6,Clutha-Southland,299,Blackmount,"Blackmount School, 4288 Blackmount-Redcliff Road",1186252.58,4913648.163
6,Clutha-Southland,300,Browns,"Hillside School, 24 McCaughan Street",1246545.528,4879151.529
6,Clutha-Southland,302,Clifden,"Hauroko Valley School, 956 Clifden Highway",1191046.65,4886575.89
6,Clutha-Southland,303,Clinton,"Clinton School, 34 Halsey Street",1320808.614,4877264.4
6,Clutha-Southland,305,Crookston,"Crookston Public Hall, 1252 Tapanui-Raes Junction Highway ",1315719.532,4915827.535
6,Clutha-Southland,306,Dipton,"Dipton School, 1935 James Street",1239345.176,4907587.242
6,Clutha-Southland,307,Drummond,"Drummond Primary School, corner Boundary & Domain Roads",1225555.059,4877514.269
6,Clutha-Southland,308,Dunrobin,"Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",1313925.152,4924058.276
6,Clutha-Southland,310,Fairfax,"Fairfax Public Hall, 1493 Riverton-Otautau Road",1218281.883,4870564.278
6,Clutha-Southland,313,Garston,"Garston School, 1705 State Highway 6",1263005.072,4956408.002
6,Clutha-Southland,315,Gore,"Calvin Presbyterian Church Centre, 25 Robertson Street",1285306.23,4886098.586
6,Clutha-Southland,316,Gore,"Gore District Court, 6 Hokonui Drive",1286662.671,4887026.999
6,Clutha-Southland,317,Gore,"East Gore School Hall, 3 Wentworth Street",1287738.11,4887822.74
6,Clutha-Southland,318,Gore,"Gore Main School, School Hall, 39 Ardwick Street",1286224.808,4887277.39
6,Clutha-Southland,319,Gore,"Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",1286770.276,4886233.5
6,Clutha-Southland,320,Greenfield,"Clutha Valley School, 2155 Clutha Valley Road",1333359.887,4889767.822
6,Clutha-Southland,321,Heddon Bush,"Heddon Bush School, 233 Hall Road",1225303.099,4885876.677
6,Clutha-Southland,323,Heriot,"Heriot School, 181 Roxburgh Street",1310594.975,4917066.058
6,Clutha-Southland,324,Hillend,"Hillend Hall, 1036 Hillend Road",1348351.962,4886731.921
6,Clutha-Southland,325,Hokonui,"Hokonui Centennial Hall, 190 Hokonui School Road",1251347.482,4882112.623
6,Clutha-Southland,326,Kaitangata,"Kaitangata School, Salcombe Street",1357526.567,4869962.883
6,Clutha-Southland,327,Kaka Point,"Kaka Point Community Centre, Moana Street",1352564.225,4857945.566
6,Clutha-Southland,328,Lawrence,"St John Rooms, 10 Ross Place",1343138.843,4910297.437
6,Clutha-Southland,329,Limehills,"Limehills School, Derby Road",1238738.125,4888087.619
6,Clutha-Southland,331,Lumsden,"Lumsden School, 19 Maria Street",1245936.06,4924678.211
6,Clutha-Southland,333,Mandeville,"Mandeville Public Hall, 11 Waimea Valley Road",1274955.931,4898213.795
6,Clutha-Southland,334,Mararoa,"Mararoa School, 2373 State Highway 94",1201446.3,4943812.868
6,Clutha-Southland,335,Mataura,"Mataura School Hall, 33 Oakland Street",1280781.485,4876169.666
6,Clutha-Southland,338,Milton,"Tokomairiro Co-op Parish Hall, 30-34 Union Street",1365332.151,4888339.133
6,Clutha-Southland,339,Milton,"Tokomairiro High School, 238 Union Street",1365625.21,4888902.791
6,Clutha-Southland,342,Mossburn,"Mossburn School, 28 Surrey Street",1229057.404,4931791.259
6,Clutha-Southland,344,Nightcaps,"Takitimu Primary School, 17 Evans Street",1215202.628,4896743.576
6,Clutha-Southland,346,Opio,"Opio Public Hall, 529 Opio Road",1219770.731,4900400.413
6,Clutha-Southland,347,Orawia,"Orawia and Districts Community Centre, 2044 Ohai Clifden Highway",1199282.869,4887504.602
6,Clutha-Southland,349,Otama,"Otama School, 702 Otama Road",1279720.66,4902068.117
6,Clutha-Southland,351,Otautau,"Otautau School, 17 Elles Road",1213319.904,4878124.509
6,Clutha-Southland,352,Owaka,"Owaka Memorial Community Centre, 3 Ovenden Street",1343591.202,4850385.275
6,Clutha-Southland,354,Pukerau,"Pukerau School, 30 Pukerau Street",1298195.119,4887670.318
6,Clutha-Southland,356,Riversdale,"Riversdale School, 28 Rutland Street",1269624.237,4907951.325
6,Clutha-Southland,362,Stirling,"Stirling School, corner Baker & Boyd Streets",1351783.325,4873346.731
6,Clutha-Southland,363,Tahakopa,"Tahakopa School, 921 Tahakopa Valley Road",1322901.634,4842848.641
6,Clutha-Southland,364,Taieri Beach,"Taieri Beach School Library, 208 Moturata Road",1383085.874,4894150.325
6,Clutha-Southland,365,Tapanui,"Tapanui School, 14a Sussex Street",1310142.772,4905623.2
6,Clutha-Southland,374,Waihola,"Waihola & Districts School, 5 Kilgour Street",1375513.829,4899455.164
6,Clutha-Southland,375,Waikaia,"Waikaia School, 22 Leamington Street",1276918.359,4928238.099
6,Clutha-Southland,376,Waikaka,"Waikaka School, 22 Matheson Road",1291227.506,4906417.247
6,Clutha-Southland,377,Waikoikoi,"Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",1302209.161,4898063.751
6,Clutha-Southland,379,Waimumu,"Waimumu Te Tipua Hall, corner Waimumu & Glendhu Roads",1276814.648,4883326.652
6,Clutha-Southland,382,Waitahuna,"Waitahuna School, 18 Sunderland Street",1348992.576,4902356.972
6,Clutha-Southland,383,Waiwera South,"Waiwera South School, 16 May Street",1329233.859,4875929.057
6,Clutha-Southland,384,Warepa,"Warepa School, 383 Old Port Road",1339767.523,4870443.158
6,Clutha-Southland,386,Wendonside,"Wendonside Hall, corner Wendonside & Freshford Plains Station Roads",1268740.559,4924029.874
6,Clutha-Southland,388,Winton,"Winton Primary School Hall, corner Clyde & Eglinton Streets",1239152.68,4878902.457
6,Clutha-Southland,1528,Arrowtown,"Arrowtown Primary School, 9 Chalmers Place",1271757.473,5014359.946
6,Clutha-Southland,1538,Frankton,"St Margaret's Church, corner Kawarau Road & Ross Street",1263744.336,5006045.962
6,Clutha-Southland,1539,Glenorchy,"Glenorchy Primary School, corner Cantire & Oban Streets",1235500.813,5023269.014
6,Clutha-Southland,1547,Kingston,"Fire Brigade Meeting Room, 48 Kent Street",1264829.123,4970623.138
6,Clutha-Southland,1581,Queenstown,"Queenstown Primary School Hall, 20 Robins Road",1258055.083,5004829.331
6,Clutha-Southland,2907,Balclutha,"Balclutha Primary School Hall, 21 Lanark Street",1348861.876,4874109.34
6,Clutha-Southland,2911,Tuatapere,"Tuatapere Community College, 47 Orawia Road",1189731.817,4877828.958
6,Clutha-Southland,2912,Waipahi,"Waipahi Community Centre, 54 Railway Terrace",1309277.365,4887133.707
6,Clutha-Southland,2969,Queenstown,"Memorial Hall, corner Memorial & Stanley Streets",1258188.422,5004627.224
6,Clutha-Southland,3133,Te Anau,"Te Anau School Hall, 167 Milford Road",1186714.163,4957531.444
6,Clutha-Southland,3220,Frankton,"Queenstown Events Centre, 35 Joe O'Connell Drive",1264208.591,5006321.692
6,Clutha-Southland,3272,Five Rivers,"Five Rivers Hall, 1898 Five Rivers-Mossburn Road",1245266.776,4937941.965
6,Clutha-Southland,3277,Winton,"Central Southland College, corner Grange and Mackenzie Streets",1238538.582,4880053.732
6,Clutha-Southland,3564,Kaiwera,"Kaiwera Hall, 883 Kaiwera-Pukerau Road",1298694.11,4880044.292
6,Clutha-Southland,3565,Balclutha,"Balclutha Information Centre, 4 Clyde Street",1348946.177,4874487.635
6,Clutha-Southland,3566,Manapouri,"Manapouri Hall, 11 Hall Road",1180062.491,4939894.157
6,Clutha-Southland,3713,Ohai,"Ohai Volunteer Fire Brigade, 61 Birchwood Road",1209323.465,4901139.618
6,Clutha-Southland,3788,Kelvin Heights,"Lakeland Park Christian Camp, 496 Peninsular Road",1260822.47,5003485.395
7,Coromandel,390,Athenree,"Athenree Fire Brigade Hall, 43 Roretana Drive",1862167.235,5851623.86
7,Coromandel,391,Colville,"Colville School, 2391 Main Road",1821061.016,5943524.773
7,Coromandel,392,Cooks Beach,"Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",1844136.692,5919512.012
7,Coromandel,393,Coroglen," Coroglen School, 10 Rangihau Road",1840337.317,5910115.727
7,Coromandel,394,Coromandel,"Coromandel Area School, 120 Woollams Avenue",1823162.451,5928917.498
7,Coromandel,395,Hahei,"Hahei Community Centre, Beach Road",1849886.635,5919113.234
7,Coromandel,397,Kaihere,"Kaihere School, 1115B State Highway 27",1814331.544,5861026.807
7,Coromandel,399,Katikati,"Katikati Primary School, 24 Beach Road",1858133.708,5839903.273
7,Coromandel,400,Thames,"Kauaeranga Hall, 437 Kauaeranga Valley Road",1830770.455,5885719.133
7,Coromandel,401,Kennedy Bay,"Te Kura Kaupapa Māori O Harataunga, 1416 Kennedy Bay Road",1827899.851,5938838.061
7,Coromandel,402,Kerepehi,"Kerepehi School, McGowan Avenue ",1825215.096,5869146.092
7,Coromandel,403,Kopuarahi,"Kopuarahi School, corner State Highway 25 & Bush Road ",1822391.088,5877753.513
7,Coromandel,404,Kuaotunu,"Kuaotunu Hall, corner Black Jack & Irish Town Roads",1843958.456,5931074.467
7,Coromandel,405,Manaia,"Manaia School, 22 Goldfields Road",1820984.593,5918760.569
7,Coromandel,407,Netherton,"Netherton School, 7 School Road",1831199.307,5864188.381
7,Coromandel,408,Ngatea,"Ngatea School, 52 Orchard West Road",1821070.088,5871674.202
7,Coromandel,411,Opoutere,"Opoutere School, State Highway 25 ",1852826.594,5886947.951
7,Coromandel,412,Paeroa,"Paeroa Memorial Hall, 144 Normanby Road",1836691.112,5859405.547
7,Coromandel,419,Tapu,"Tapu Primary School, 719 Thames Coast Road",1822674.844,5903864.41
7,Coromandel,423,Te Rerenga,"Te Rerenga School, 1229 State Highway 25  ",1831800.944,5929207.312
7,Coromandel,425,Thames,"Tararu Cultural Centre, 604 Tararu Road",1824466.955,5889040.862
7,Coromandel,426,Thames,"Thames High School, 300 Sealey Street",1826039.175,5886615.203
7,Coromandel,427,Thames,"Moanataiari School, 101 Kuranui Street",1824991.613,5887763.509
7,Coromandel,428,Thames,"Parawai School, 106 Lowe Avenue",1827389.114,5884810.265
7,Coromandel,429,Thames,"Thames South School, corner Grey & Rolleston Streets",1826325.369,5886048.586
7,Coromandel,430,Turua,"Turua School, 523 Hauraki Road",1827850.705,5875178.015
7,Coromandel,431,Waihi,"Waihi Memorial Hall, 41 Seddon Street",1851511.238,5857979.867
7,Coromandel,432,Waihi,"Waihi East School, 6-8 Donnelly Street",1852887.149,5858938.849
7,Coromandel,433,Waihi,"Waihi Central School, Moresby Avenue",1851313.954,5858083.558
7,Coromandel,434,Waihi Beach,"Waihi Beach School, 100 Beach Road",1860092.106,5856042.523
7,Coromandel,435,Waikino,"Victoria Hall, State Highway 2",1845284.424,5855723.52
7,Coromandel,436,Thames,"Waitakaruru School, Canal West Road ",1812289.109,5876241.075
7,Coromandel,440,Whitianga,"Whenuakite School, 1055 State Highway 25",1847404.112,5910953.868
7,Coromandel,441,Whiritoa,"Whiritoa Emergency Management Centre,  Whiritoa Beach Road",1856888.008,5869715.636
7,Coromandel,442,Whitianga,"Mercury Bay Area School, 20 South Highway",1840589.86,5919340.355
7,Coromandel,979,Elstow,"Elstow-Waihou Combined School, 355 Bowler Road",1833145.251,5843783.061
7,Coromandel,989,Manawaru,"Manawaru School, 442 Manawaru Road ",1843871.072,5831290.734
7,Coromandel,1009,Springdale,"Springdale School, 985 Number 1 Road",1826784.746,5843236.939
7,Coromandel,1010,Tahuna,"Tahuna School, 43 Tahuna Road",1820085.81,5846505.56
7,Coromandel,1011,Tatuanui  ,"Tatuanui School, 4513 Whakahongi Road (State Highway 27)",1829236.961,5832972.209
7,Coromandel,1012,Tauhei,"Tauhei Combined School, 860 Tauhei Road",1814560.512,5835569.801
7,Coromandel,1013,Te Aroha,"Matamata-Piako District Council Conference Room, 35 Kenrick Street",1839503.284,5841237.915
7,Coromandel,1014,Te Aroha,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",1839400.859,5842043.091
7,Coromandel,1015,Te Aroha,"Stanley Avenue School, 61 Stanley Avenue",1838306.188,5840989.757
7,Coromandel,1029,Waihou  ,"Waihou Community Hall, 2 Second Avenue",1836294.058,5838208.147
7,Coromandel,1030,Waitoa,"Waitoa School, 3932 State Highway 26",1832835.819,5835714.294
7,Coromandel,2914,Whitianga,"Matarangi Fire Station, Matarangi Drive",1837693.804,5931401.786
7,Coromandel,2915,Paeroa,"Miller Avenue School, 30 Miller Avenue",1836614.005,5860549.867
