Electorate Candidate and Party Votes Recorded at Each Polling Place
"New Lynn 30","Candidate Vote Details"
,,"BAILEY, Ivan","CUNLIFFE, David Richard","DAVIDSON-NORRIS, Sean Benjamin","GROSER, Timothy John","STEINIJANS, Barbara Delia","TOMS, Saffron","Total Valid Candidate Votes","Informal Candidate Votes"
,"Ordinary Votes BEFORE polling day - Taken in Mt Albert",2,39,0,35,0,11,87,1
,"Ordinary Votes BEFORE polling day - Taken in Mt Roskill",3,80,3,96,0,12,194,2
,"Ordinary Votes BEFORE polling day - Taken in New Lynn",79,1605,13,1186,21,120,3024,99
,"Ordinary Votes BEFORE polling day - Taken in Te Atatū",2,51,1,42,1,7,104,1
,"Ordinary Votes BEFORE polling day - Taken in Waitakere",2,67,1,53,1,11,135,2
,"Special Votes BEFORE polling day",13,304,14,200,2,39,572,11
,"Special Votes On polling day",53,1393,56,790,25,292,2609,65
,"Overseas Special Votes including Defence Force",0,115,0,82,4,23,224,2
,"New Lynn Total",820,16999,343,11809,265,2364,32600,844
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33444
"Electorate Candidate Valid Votes","Party",,"CUNLIFFE, David Richard - majority 5190"
"BAILEY, Ivan",Conservative Party,820,.0251533742
"CUNLIFFE, David Richard",Labour Party,16999,.5214417178
"DAVIDSON-NORRIS, Sean Benjamin",Aotearoa Legalise Cannabis Party,343,.0105214724
"GROSER, Timothy John",National Party,11809,.3622392638
"STEINIJANS, Barbara Delia",ACT New Zealand,265,.0081288344
"TOMS, Saffron",Green Party,2364,.0725153374
