Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin North 10","Candidate Vote Details"
,,"BAKER-SHERMAN, Jason","BILLOT, Victor Philip","BOYACK, James Nicholas","HODGSON, Peter Colin","JAMIESON, Philippa Ruth Glennie","MARTIN, Willie","PETERS, Mark Jonathan","RICH, Katherine","Total Valid Candidate Votes","Informal Candidate Votes"
"North East Valley","Dunedin North Intermediate School, 34 North Road",31,31,11,642,137,8,29,273,1162,6
,"North East Valley Presbyterian Youth Centre, 213 North Road",20,18,26,742,98,6,25,245,1180,5
"Opoho","Opoho School, 96 Signal Hill Road",3,3,6,370,52,3,9,184,630,1
"Pine Hill","Pine Hill School, 2 Wilkinson Street",11,6,12,566,55,8,20,235,913,9
"Port Chalmers","Port Chalmers School, 30A Albertson Avenue",2,2,8,153,21,0,1,44,231,2
,"Port Chalmers Town Hall, Grey Street",11,14,10,372,66,5,17,100,595,5
"Ravensbourne","Ravensbourne Community Hall, Wanaka Street",13,7,9,366,41,1,12,119,568,3
"Roslyn","Kaikorai Primary School, Wright Street",7,1,5,245,25,3,6,287,579,5
,"Presbyterian Church Hall, 21 Highgate",3,1,7,349,18,0,13,391,782,7
,"Roslyn Baptist Church, 309 Highgate",0,5,8,224,36,2,11,227,513,3
"Sawyers Bay","Sawyers Bay School, 99 Stevenson Avenue",8,12,5,457,41,0,10,170,703,4
"South Dunedin","Edgar Sports Centre, Lounge 2, Portsmouth Drive",1,0,0,20,5,0,1,19,46,0
,"Macandrew Intermediate School, 213 Macandrew Road",2,0,0,25,3,0,0,13,43,0
,"Salvation Army Hall, 190 King Edward Street",3,0,0,35,7,0,2,14,61,1
"St Leonards","King George Hall, 29 St Leonards Road",5,3,1,178,23,2,2,97,311,3
"Wakari","Wakari School, 150 Helensburgh Road",11,5,10,755,40,4,14,473,1312,12
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,4,9,338,19,0,16,156,545,14
,"Ordinary Votes BEFORE polling day",27,12,11,1076,136,16,40,813,2131,13
,"Special Votes BEFORE polling day",7,2,3,233,15,4,3,109,376,4
,"Special Votes On polling day",74,8,16,1113,237,20,43,644,2155,18
,"Overseas Special Votes including defence force",1,10,0,354,48,10,4,131,558,2
,"Dunedin North Total",498,270,330,17769,2405,196,652,10139,32259,241
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32500
"Electorate Candidate Valid Votes","Party",,"HODGSON, Peter Colin - majority 7630"
"BAKER-SHERMAN, Jason",Aotearoa Legalise Cannabis Party,498,.0154375523
"BILLOT, Victor Philip",Alliance,270,.0083697573
"BOYACK, James Nicholas",Jim Anderton's Progressive,330,.0102297033
"HODGSON, Peter Colin",Labour Party,17769,.5508230261
"JAMIESON, Philippa Ruth Glennie",Green Party,2405,.074552838
"MARTIN, Willie",ACT New Zealand,196,.0060758238
"PETERS, Mark Jonathan",United Future New Zealand,652,.0202114139
"RICH, Katherine",National Party,10139,.3142998853
