Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitikei 44","Candidate Vote Details"
,,"BROWN, Marilyn Leigh","HEPI, Abraham","MOODIE, Robert Alexander","PEIRCE, Richard Davis","POWER, Simon James","STRAWBRIDGE, Murray Russell","WAUGH, John Harold","Total Valid Candidate Votes","Informal Candidate Votes"
,"Monrad Intermediate School, 228 Botanical Rd",15,1,0,1,17,1,0,35,0
,"Order of St John Hall, 92 Cuba St",8,1,0,0,21,0,0,30,0
,"Public Hospital Education Centre, Ruahine St",19,2,2,0,19,2,0,44,1
,"Queen Elizabeth College, 350-382 Rangitikei St",25,1,0,0,45,6,0,77,0
,"Rangiora Community Centre, 98-102 Rangiora Avenue",10,0,2,0,2,3,0,17,0
,"Roslyn School, Kipling and Shelley Streets",192,12,14,2,306,20,6,552,4
,"Russell St School, 19-31 Russell St",16,0,1,0,31,2,0,50,0
,"St David's Church Hall, 9 Rainforth St",42,1,5,0,52,7,3,110,0
,"St Oswald's Church Hall, Kingswood St",14,1,1,0,15,1,0,32,0
,"St Peter's College, 22-38 Rennie Avenue",238,0,9,9,342,14,2,614,5
,"Terrace End School, 183-209 Ruahine St",67,3,2,2,54,3,0,131,0
,"The Salvation Army Hall, 431 Church St",23,0,3,0,34,1,1,62,3
"Pohangina","Pohangina Public Hall, Pohangina Rd",46,5,1,1,117,5,1,176,4
"Pukeokahu","Pukeokahu School, Taihape-Napier Road, RD2 Taihape",4,4,2,5,30,0,3,48,0
"Rangiwaea Junction","Rangiwaea School, Upper Turakina Valley Road, RD1 Taihape",3,0,1,0,32,1,0,37,0
"Rangiwahia","Rangiwahia School, Rural No 2549 Rangiwahia Rd",11,1,4,0,69,3,0,88,0
"Ratana","Te Kura O Ratana/Ratana School, Kiatere St",7,1,0,0,2,0,0,10,0
"Rongotea","Rongotea School, Tyne St",95,2,15,1,329,23,2,467,3
"Sanson","Sanson School, Wellington Road SH 1",80,2,7,2,237,21,2,351,4
"Taihape","St Joseph's School, 6 Wren St",41,13,3,4,85,9,3,158,0
,"Taihape Town Hall, 90 Hautapu St",163,48,15,30,434,31,8,729,2
"Tangimoana","Tangimoana School, 19 Punga Street",92,2,5,0,56,7,2,164,2
"Taonui","Taonui School, 170 Waughs Road",36,3,4,1,133,8,4,189,1
"Taoroa","Taoroa School, Taoroa Junction",4,2,2,0,36,0,0,44,0
"Turakina","Turakina School, Main Rd",58,7,4,3,120,8,0,200,3
"Tutaenui","Tutaenui Public Hall, cnr Griffins Road and Jeffersons Line",18,1,4,4,141,8,1,177,0
"Waiouru","Waiouru Community Centre, Queree Drive",97,22,5,6,149,13,1,293,2
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",18,1,2,1,129,4,1,156,1
"Whakarongo","Whakarongo School, 17 Stoney Creek Road",102,4,11,0,356,22,9,504,1
"Whangaehu","Whangaehu School, Ruatangata Street",10,2,0,2,44,2,3,63,3
,"Polling places where less than 6 votes were taken",1,0,0,0,4,0,0,5,0
,"Hospital Votes",86,1,8,4,138,10,2,249,9
,"Ordinary Votes BEFORE polling day",725,18,60,37,1509,119,23,2491,14
,"Special Votes BEFORE polling day",71,2,7,5,136,7,0,228,5
,"Special Votes On polling day",533,35,32,20,960,53,14,1647,10
,"Overseas Special Votes including defence force",62,1,7,0,128,3,2,203,3
,"Rangitikei Total",9459,369,718,426,19119,1335,215,31641,216
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31857
"Electorate Candidate Valid Votes","Party",,"POWER, Simon James - majority 9660"
"BROWN, Marilyn Leigh",Labour Party,9459,.298947568
"HEPI, Abraham",Mâori Party,369,.011662084
"MOODIE, Robert Alexander",United Future New Zealand,718,.0226920767
"PEIRCE, Richard Davis",Rangitikei First,426,.0134635441
"POWER, Simon James",National Party,19119,.6042476534
"STRAWBRIDGE, Murray Russell",New Zealand First Party,1335,.0421920925
"WAUGH, John Harold",ACT New Zealand,215,.0067949812
