Electorate Candidate and Party Votes Recorded at Each Polling Place
"Clutha-Southland 6","Candidate Vote Details"
,,"ENGLISH, Simon William","GOW, Timothy Robert","HENDERSON, Roland James","HUBBARD, Marvin Gilbert","PRYDE, Donald Stuart","TANKARD, Paul Ayson","Total Valid Candidate Votes","Informal Candidate Votes"
"Kaitangata","Kaitangata School, Salcombe Street",145,15,9,3,235,4,411,5
"Kaiwera","Kaiwera Hall, Kaiwera-Pukerau Road",73,1,3,0,2,0,79,0
"Kaka Point","Kaka Point Community Centre, Moana Street",140,11,1,2,52,1,207,5
"Kingston","Fire Brigade Meeting Room, Kent Street",62,11,0,0,19,4,96,3
"Lawrence","St John Rooms, 10 Ross Place",279,34,4,2,102,1,422,3
"Lee Stream","Lee Stream School, Clarks Junction-Lee Stream Road (State Highway 87)",30,0,2,0,6,0,38,1
"Limehills","Limehills School, Derby Road",249,8,5,2,22,2,288,0
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",58,2,0,0,6,0,66,2
"Lumsden","Lumsden School, 19 Maria Street",219,15,6,6,76,3,325,6
"Manapouri","Manapouri Hall, 11 Hall Road",100,23,5,0,32,2,162,0
"Mandeville","Mandeville Public Hall, 11 Waimea Valley Road",90,9,4,0,9,0,112,1
"Mararoa","Mararoa School, 2373 State Highway 94",115,5,2,0,6,0,128,0
"Mataura","Mataura School Hall, 33 Oakland Street",387,21,14,5,273,10,710,13
"Milton","Tokomairiro Co-op Parish Hall, 30-34 Union Street",361,23,17,7,265,13,686,8
,"Tokomairiro High School, 238 Union Street",329,34,4,7,228,8,610,9
"Mosgiel","Salvation Army Hall, 4 Lanark Street",4,1,0,0,3,0,8,0
,"St Mary's School Hall, 53 Gordon Road",11,4,0,0,3,0,18,0
"Mossburn","Mossburn School, 28 Surrey Street",247,13,1,2,37,11,311,4
"Nightcaps","Takitimu Primary School, 17 Evans Street",120,7,6,4,91,2,230,5
"Ohai","Ohai Volunteer Fire Brigade, 61 Birchwood Road",83,9,7,1,54,2,156,0
"Opio","Opio Public Hall, 529 Opio Road",57,4,1,0,2,0,64,0
"Orawia","Orawia and Districts Community Centre, 2044 Ohai Clifden Highway",90,9,3,2,10,1,115,0
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",20,2,0,0,1,0,23,0
"Otama","Otama School, 702 Otama Road",89,6,2,0,3,0,100,0
"Otautau","Otautau School, 17 Elles Road",394,28,12,3,82,4,523,2
"Outram","Outram School, 1 Beaumaris Street",7,4,0,1,4,0,16,2
"Owaka","Owaka Memorial Community Centre, 3 Ovenden Street",260,30,12,2,85,6,395,5
"Pukerau","Pukerau School, 30 Pukerau Street",134,4,2,0,15,1,156,0
"Queenstown","Memorial Hall, corner Memorial & Stanley Streets",630,211,13,4,256,31,1145,9
,"Queenstown Primary School Hall, Robins Road",312,80,8,1,112,18,531,0
"Riversdale","Riversdale School, 28 Rutland Street",341,13,3,0,35,4,396,1
"Stirling","Stirling School, corner Baker & Boyd Streets",138,11,3,3,64,5,224,4
"Tahakopa","Tahakopa School, 921 Tahakopa Valley Road",49,4,1,0,14,0,68,4
"Taieri Beach","Taieri Beach School Library, 208 Moturata Road",74,7,1,0,52,0,134,1
"Tapanui","Tapanui School, Sussex Street",443,22,10,5,121,7,608,4
"Te Anau","Te Anau School Hall, 167 Milford Road",827,94,24,3,175,15,1138,5
"Tuatapere","Tuatapere Community College, 47 Orawia Road",287,13,4,1,52,5,362,7
"Waihola","Waihola & Districts School, 5 Kilgour Street",170,23,6,2,74,2,277,2
"Waikaia","Waikaia School, 22 Leamington Street",133,2,1,1,20,3,160,0
"Waikaka","Waikaka School, 22 Matheson Road",191,7,11,0,19,0,228,3
"Waikoikoi","Waikoikoi Public Hall, corner State Highway 90 & Koi Flat Road",125,2,5,0,5,5,142,1
"Waimumu","Waimumu Te Tipua Hall, corner Waimumu & Glendhu Roads",105,2,5,0,4,4,120,1
"Waipahi","Waipahi Community Centre, Railway Terrace",81,3,0,0,13,0,97,3
"Waitahuna","Waitahuna School, 18 Sunderland Street",102,4,5,3,20,1,135,0
"Waiwera South","Waiwera South School, 16 May Street",92,2,1,0,9,0,104,0
"Warepa","Warepa School, 383 Old Port Road",86,5,0,1,14,0,106,0
"Wendonside","Wendonside Hall, corner Wendonside & Freshford Plains Station Roads",53,1,0,0,4,0,58,0
"Winton","Central Southland College, Grange Street",443,21,14,3,90,12,583,8
,"Winton Primary School Hall, corner Clyde & Eglinton Streets",770,40,20,3,150,14,997,7
,"Polling places where less than 6 votes were taken",2,0,0,0,6,1,9,0
,"Hospital Votes",163,2,4,1,90,0,260,22
,"Ordinary Votes BEFORE polling day",2395,228,49,11,654,43,3380,28
,"Special Votes BEFORE polling day",297,42,11,2,89,8,449,7
,"Special Votes On polling day",1237,224,34,12,422,41,1970,20
,"Overseas Special Votes including defence force",160,30,4,1,56,2,253,0
,"Clutha-Southland Total",22631,2304,590,149,7156,515,33345,354
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33699
"Electorate Candidate Valid Votes","Party",,"ENGLISH, Simon William - majority 15475"
"ENGLISH, Simon William",National Party,22631,.6786924576
"GOW, Timothy Robert",Green Party,2304,.0690958165
"HENDERSON, Roland James",ACT New Zealand,590,.0176938072
"HUBBARD, Marvin Gilbert",Alliance,149,.004468436
"PRYDE, Donald Stuart",Labour Party,7156,.2146048883
"TANKARD, Paul Ayson",Family Party,515,.0154445944
