Electorate Candidate Votes Recorded at Each Voting Place
"Taranaki-King Country 50","Candidate Vote Details"
,,"AISH, Edward Walter Paul","ESPIN, David Craig","GAYLOR, Penelope Louise","KEINZLEY, Grant Thomas ","KURIGER, Barbara Joan","MOORE, Robert Bruce","Total Valid Candidate Votes","Informal Candidate Votes"
"Tokirima","Tokirima School, 71 Tokirima Road",0,0,5,0,44,2,51,0
"Toko","Toko School, 1057 East Road",4,1,13,0,183,8,209,2
"Tongaporutu","Tongaporutu Hall, Tongaporutu Road",3,0,10,1,26,9,49,0
"Urenui","Urenui School, Takiroa Street",13,4,45,0,319,32,413,4
"Uruti","Uruti School, 11 Uruti Road",0,0,13,0,51,7,71,3
"Waikato Hospital","Meade Clinical Centre, Level One (adjacent to Reception A), Pembroke Street",0,0,5,0,15,3,23,0
"Waingaro","Waingaro School, 5844 State Highway 22",3,0,4,0,51,2,60,0
"Waitara","Waitara Central School Hall, 18 Cracroft Street",1,0,6,0,19,4,30,1
,"Waitara High School Hall, 16 Princess Street",2,0,17,2,49,6,76,3
"Waitetuna","Waitetuna School, 129 Waitetuna Valley Road",5,1,27,4,60,40,137,1
"Waitomo Caves","Waitomo School, Hotel Access Road",8,0,14,1,69,13,105,3
"Waitoriki","Waitoriki School, 364 Lincoln Road",2,0,17,0,66,8,93,1
"Whangamomona","Whangamomona Hall, 6013 State Highway 43",3,0,8,0,62,5,78,3
"Wharehuia","Wharehuia Hall (formerly Stanley School Hall), 4 Stanley Road",5,1,5,0,69,4,84,3
"Wharepapa","Wharepapa South School, 14 Wharepapa Road",9,0,3,2,67,7,88,1
"Whatawhata","Whatawhata School, 9 Kura Street ",45,6,125,3,547,78,804,7
,"Voting places where less than 6 votes were taken",0,0,0,0,5,0,5,0
,"Ordinary Votes BEFORE polling day",358,44,1433,46,5185,724,7790,151
,"Special Votes BEFORE polling day",27,1,111,11,452,114,716,8
,"Special Votes On polling day",107,6,350,17,1217,257,1954,37
,"Overseas Special Votes including Defence Force",6,1,50,3,161,49,270,4
,"Taranaki-King Country Total",1420,152,5555,209,22328,3091,32755,463
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33218
"Electorate Candidate Valid Votes","Party",,"KURIGER, Barbara Joan - majority 16773"
"AISH, Edward Walter Paul",Conservative,1420,.04335216
"ESPIN, David Craig",Democrats for Social Credit,152,.0046405129
"GAYLOR, Penelope Louise",Labour Party,5555,.1695924286
"KEINZLEY, Grant Thomas ",Internet Party,209,.0063807052
"KURIGER, Barbara Joan",National Party,22328,.6816669211
"MOORE, Robert Bruce",Green Party,3091,.0943672722
