Electorate Candidate and Party Votes Recorded at Each Polling Place
"Clevedon 7","Candidate Vote Details"
,,"BAYLISS, Steve","CATCHPOLE, Brent Stanley","COLLINS, Judith Anne","ENE-ULUGIA, Lale","HEREORA, David Murray","HILL, Brenda Louise","KING, David Sinclair","LEE, Mason Chet","MARTINOVICH, Leanne Jane","OGILVIE, Iain Charles","WALKER, John Luther","Total Valid Candidate Votes","Informal Candidate Votes"
,"Papakura South School, 58 Beach Road",28,29,317,0,167,9,5,6,2,8,13,584,7
,"Redhill School, Redcrest Avenue",31,66,296,0,198,13,7,4,1,9,13,638,7
,"Rosehill Intermediate, 5 Jupiter Street",33,57,269,2,285,17,7,15,1,3,15,704,5
"Takanini","Conifer Grove School, Evanda Crescent, Hall entry from 70 Walter Strevens Drive",51,74,1140,3,391,15,7,10,1,11,37,1740,12
,"Takanini Church of Christ Hall, 160 Great South Road",18,43,183,1,189,10,7,2,2,5,16,476,5
,"Takanini School, 39 Takanini School Road",25,57,270,2,309,5,17,9,0,7,17,718,11
"Whitford","Whitford Hall, 35 Whitford- Maraetai Road",43,41,742,0,92,4,1,5,2,10,15,955,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",9,34,187,2,95,1,1,3,0,3,4,339,16
,"Ordinary Votes BEFORE polling day",52,134,1145,1,386,14,8,16,2,9,43,1810,13
,"Special Votes BEFORE polling day",28,36,604,2,187,10,33,22,0,13,17,952,12
,"Special Votes On polling day",153,106,1361,9,791,37,49,46,2,56,64,2674,56
,"Overseas Special Votes including defence force",26,8,288,0,76,1,1,1,0,4,8,413,2
,"Clevedon Total",1424,2010,21828,56,8957,450,311,390,42,500,882,36850,401
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37251
"Electorate Candidate Valid Votes","Party",,"COLLINS, Judith Anne - majority 12871"
"BAYLISS, Steve",Green Party,1424,.0386431479
"CATCHPOLE, Brent Stanley",New Zealand First Party,2010,.0545454545
"COLLINS, Judith Anne",National Party,21828,.5923473541
"ENE-ULUGIA, Lale",New Zealand Family Rights Protection Party,56,.0015196744
"HEREORA, David Murray",Labour Party,8957,.2430664858
"HILL, Brenda Louise",Jim Anderton's Progressive,450,.0122116689
"KING, David Sinclair",Mâori Party,311,.0084396201
"LEE, Mason Chet",Destiny New Zealand,390,.0105834464
"MARTINOVICH, Leanne Jane",Direct Democracy Party,42,.0011397558
"OGILVIE, Iain Charles",ACT New Zealand,500,.013568521
"WALKER, John Luther",United Future New Zealand,882,.0239348711
