Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waiariki 70","Candidate Vote Details"
,,"FLAVELL, Te Ururoa James William Ben","SYKES, Annette Te Imaima","TE KANI, Louis Te Whakaotinga","Total Valid Candidate Votes","Informal Candidate Votes"
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",14,9,10,33,9
"Reporoa","Reporoa Primary School, 34 Massey Road",8,12,13,33,3
"Rotoiti","Te Kura Kaupapa Māori O Rotoiti, 1620 State Highway 30",49,52,9,110,3
"Rotokawa","Rotokawa School, 6 Rotokawa Road",45,47,23,115,7
"Rotorua","Aorangi School, 3 Gem Street",68,61,55,184,8
,"Electorate Headquarters, Ground Floor, 1192 Hinemoa Street",37,29,18,84,6
,"Gandhi Hall, 14-16 Gibson Street",44,48,31,123,7
,"Glenholme School Hall, 149 Ranolf Street",61,63,45,169,8
,"Homedale Kindergarten, 50 Homedale Street",35,25,20,80,4
,"Kaitao Middle School, 30 Bell Road",42,42,24,108,5
,"Kawaha Point School, Aquarius Drive",58,41,30,129,6
,"Koutu Tumahaurangi Meeting House, 38 Koutu Road",168,94,44,306,17
,"Malfroy School, 196 Malfroy Road",93,71,43,207,16
,"Otonga School Hall, 105 Otonga Road",40,21,20,81,4
,"Rotorua Intermediate School, 93-95 Malfroy Road",70,78,57,205,10
,"Rotorua Primary School Hall, Rangiuru Street",119,75,36,230,7
,"Rotorua Public Hospital, Pukeroa Street",23,14,10,47,2
,"Selwyn School Hall, 3 Old Quarry Road",106,104,77,287,14
,"St Andrew's Church Hall, 309 Old Taupo Road",46,30,19,95,1
,"St Chad's Communication Centre, 2 Devon Street",19,15,9,43,1
,"St John Ambulance Hall, Pererika Street",45,26,23,94,5
,"St Michael's School Hall, Clayton Road",56,37,61,154,7
,"Sunset Primary School Hall, 150 Sunset Road",91,103,64,258,12
,"Waiariki Institute of Technology Cafeteria, Mokoia Drive",25,15,7,47,1
,"Westbrook School Hall, 362 Malfroy Road",65,46,31,142,7
,"Western Heights Primary School Hall, Clayton Road",79,56,67,202,12
"Ruatahuna","Huiarau School, 98 Sister Annie Road",25,32,24,81,2
"Waiohau","Te Kura Kaupapa Māori O Waiohau, 2481 Galatea Road",7,25,2,34,3
,Taupō
"Motuoapa","Motuoapa Fishing and Boating Association, 2 Arataha Street",4,0,2,6,0
"Omori","Omori Community Hall, Taupo District Council Depot, 320 Omori Road",7,3,2,12,0
"Taupo","Acacia Bay Community Centre, 1 Wakeman Road",11,2,1,14,1
,"Active Arts, 5 Redoubt Street",3,8,0,11,0
,"Hilltop School, 90 Rokino Road",6,1,7,14,3
,"Hinemoa Kindergarten, 61 Hinemoa Avenue",10,15,5,30,5
,"Huka Falls Resort, 56 Huka Falls Road",3,1,3,7,0
,"Inspire Church, 65 Lakewood Drive",15,13,2,30,1
,"Mountview School, 31 Rangatira Street",28,19,18,65,6
,"St Andrew's Anglican Church, 91 Titiraupenga Street",10,6,3,19,0
,"Tauhara College, 101 Invergarry Road",14,1,8,23,1
,"Tauhara Primary School, 90 Crown Road",27,18,8,53,4
,"Taupo Baptist Church Hall, corner Rifle Range & Taupo View Roads",40,25,35,100,7
,"Taupo Library, Meeting Room, First Floor, Tongariro Street (access from the Cenotaph)",8,3,6,17,0
,"Taupo Primary School, corner Tamamutu & Ruapehu Streets",21,13,10,44,4
,"Taupo-nui-a-Tia College, 122 Spa Road",38,22,11,71,1
,"Waiariki Institute of Technology Taupo Campus, corner Heu Heu and Kaimanawa Streets",8,1,0,9,1
,"Waipahihi Hall, Unison Youth Arts Centre, 98 Richmond Avenue",20,10,8,38,1
,"Waipahihi School, 20 Parata Street",8,4,2,14,1
"Turangi","Kuratau School, 2244 State Highway 41, Kuratau Junction",8,3,1,12,1
,"Te Kura o Hirangi, 25 Mawake Place",68,28,23,119,10
,"Tongariro Seniors' Hall, McLaren Park, 83 Ohuanga Road",90,41,44,175,8
"Wairakei Village","Wairakei School, 2 Kauri Drive",24,9,11,44,3
"Waitahanui","Te Kura o Waitahanui, 107 State Highway 1",40,28,11,79,2
,Tauranga
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",52,21,19,92,8
,"Bethlehem Tertiary Institute, 24 Elder Lane",4,0,2,6,4
"Mt Maunganui","Harbourside Netball Pavilion, Maunganui Road",9,5,8,22,2
,"Mt Maunganui College, Maunganui Road",20,8,10,38,4
,"Mt Maunganui Intermediate School, 21 Links Avenue",30,23,22,75,2
,"Mt Maunganui Primary School, 13 Orkney Road",16,4,6,26,2
,"Senior Citizens' Hall, 345 Maunganui Road",15,7,9,31,3
,"St Peter's Church Hall, 11 Victoria Road",13,2,2,17,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",12,4,8,24,3
"Tauranga","Brookfield School, 20 Millers Road",79,39,45,163,12
,"Greenpark School, 13 Lumsden Street",23,8,21,52,5
,"Greerton Community Hall, 1247 Cameron Road",73,28,39,140,10
,"Matua Community Hall, Levers Road",16,14,6,36,4
,"Matua Dance Education Centre, 228b Levers Road",5,0,1,6,0
,"Merivale School, 26 Kesteven Avenue",53,40,46,139,11
,"Otumoetai College, 105 Windsor Road",34,17,23,74,1
,"Otumoetai School, 236 Otumoetai Road",34,8,17,59,4
,"Pillans Point School, 101 Maxwells Road",11,2,15,28,2
,"St Columba Church Hall, 502 Otumoetai Road",7,4,11,22,1
,"St Peter's Community Centre, 130 Spring Street",11,3,6,20,0
,"Tauranga Girls' College Hall, 930 Cameron Road",54,37,47,138,10
,"Tauranga Intermediate School, 30 18th Avenue",20,8,20,48,2
,"Tauranga Primary School Hall, 31 5th Avenue",17,15,19,51,3
,"Tauriko School, State Highway 29",12,2,3,17,0
,"Village Hall, Village on 17, 17th Avenue",14,3,4,21,1
,"Polling places where less than 6 votes were taken",20,11,13,44,7
,"Ordinary Votes BEFORE polling day - Taken in Bay of Plenty",74,36,50,160,18
,"Ordinary Votes BEFORE polling day - Taken in Coromandel",26,9,14,49,5
,"Ordinary Votes BEFORE polling day - Taken in East Coast",203,168,119,490,27
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",356,316,155,827,48
,"Ordinary Votes BEFORE polling day - Taken in Taupō",220,78,78,376,18
,"Ordinary Votes BEFORE polling day - Taken in Tauranga",102,56,71,229,21
,"Special Votes BEFORE polling day",126,114,64,304,10
,"Special Votes On polling day",612,574,364,1550,62
,"Overseas Special Votes including Defence Force",23,12,8,43,1
,"Waiariki Total",7651,5768,4355,17774,993
,,,,"Valid Candidate Votes plus Informal Candidate Votes",18767
"Electorate Candidate Valid Votes","Party",,"FLAVELL, Te Ururoa James William Ben - majority 1883"
"FLAVELL, Te Ururoa James William Ben",Māori Party,7651,.4304602228
"SYKES, Annette Te Imaima",Mana,5768,.3245189603
"TE KANI, Louis Te Whakaotinga",Labour Party,4355,.2450208169
