Electorate Candidate and Party Votes Recorded at Each Polling Place
"Kaikoura 20","Candidate Vote Details"
,,"BELCHER, Alistair Paul","BROWNING, Steffan John","CHRISTIE, Coralie Beverley","KING, Colin McDonald","KING, Linda Waimarie","McCASKEY, John Stuart James","McNAMARA, Brian Lawrence","TATTERSFIELD, David John","Total Valid Candidate Votes","Informal Candidate Votes"
"Tuamarina","Tuamarina School, Bush Road",6,27,2,159,6,1,57,3,261,2
"Waiau","Waiau School, 14 Montrose Street",5,17,0,212,11,0,57,4,306,5
"Waihopai","Waihopai Valley Community Hall, 1605 Waihopai Valley Road",3,9,0,77,2,0,8,4,103,0
"Waikari","Waikari School, 23 Princes Street",3,22,1,181,9,4,55,2,277,3
"Waikawa Bay","Waikawa Bay School, 282 Waikawa Road",1,32,4,191,10,0,69,2,309,2
"Waipara","Waipara School, 2 Lofthagen Drive",11,12,0,157,4,11,38,1,234,1
"Wairau Valley Township","Wairau Valley School, 30 Morse Street",5,23,0,170,7,1,53,3,262,0
"Waitaria Bay","Waitaria Bay School, 5668 Kenepuru Road",2,8,0,51,0,0,9,0,70,1
"Ward","Ward School, 63 Duncan Street",6,7,0,164,1,1,19,1,199,0
"Woodbourne","RNZAF Family Centre, Caldwell Road",11,14,2,171,3,0,36,8,245,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,9,2,194,16,4,125,4,356,24
,"Ordinary Votes BEFORE polling day",99,179,9,1705,76,8,676,36,2788,22
,"Special Votes BEFORE polling day",12,75,4,435,23,2,170,10,731,8
,"Special Votes On polling day",38,206,11,954,34,6,412,34,1695,12
,"Overseas Special Votes including defence force",5,40,2,216,5,4,58,6,336,1
,"Kaikoura Total",1127,2823,131,20374,959,112,9297,443,35266,292
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35558
"Electorate Candidate Valid Votes","Party",,"KING, Colin McDonald - majority 11077"
"BELCHER, Alistair Paul",Kiwi Party,1127,.0319571258
"BROWNING, Steffan John",Green Party,2823,.0800487722
"CHRISTIE, Coralie Beverley",United Future,131,.003714626
"KING, Colin McDonald",National Party,20374,.5777235865
"KING, Linda Waimarie",New Zealand First Party,959,.0271933307
"McCASKEY, John Stuart James",Democrats for Social Credit,112,.0031758634
"McNAMARA, Brian Lawrence",Labour Party,9297,.2636250213
"TATTERSFIELD, David John",ACT New Zealand,443,.0125616741
