Electorate Candidate Votes Recorded at Each Voting Place
"Invercargill 19","Candidate Vote Details"
,,"BOND, Ria Iris Daphne","DE RUYTER, Stephnie Jane","DOWIE, Sarah Maree","KENNEDY, David John","SOPER, Lesley Frances","STORR, Laura Louisa ","Total Valid Candidate Votes","Informal Candidate Votes"
"Lochiel","Lochiel School, corner Lochiel Bridge & Smith Roads",3,1,102,5,6,4,121,0
"Makarewa","Makarewa School, 56 Flora Road East",36,5,359,21,130,16,567,4
"Mokoreta","Mokoreta-Redan Centennial Hall, 1725 Wyndham-Mokoreta Road",2,0,64,0,5,1,72,0
"Mokotua","Mokotua Public Hall, 12 Clearwater Road",9,1,122,1,16,2,151,1
"Myross Bush","Myross Bush Community Hall, 238 Mill Road North",30,3,379,19,71,4,506,3
"Orepuki","Orepuki and Districts Community Centre, 32 Oldham Street",11,0,26,5,17,7,66,1
"Otatara","Otatara Community Centre, 146 Dunns Road",94,6,655,120,254,26,1155,10
"Queenstown","Queenstown Memorial Hall, corner Memorial & Stanley Streets",0,0,9,2,5,0,16,0
"Riverton","Riverton Primary School Hall, corner Leader & Princess Streets",45,8,445,42,164,13,717,11
"Roslyn Bush","Roslyn Bush Playcentre, corner Kennington- Roslyn Bush Road & Lorne-Dacre Highway",6,0,126,4,11,0,147,1
"Ryal Bush","Ryal Bush Community Centre, 55 Ryal Bush School Road",3,5,101,9,13,2,133,1
"Seaward Downs","Seaward Downs Public Hall, 29 Mataura Island Road",3,1,94,1,7,0,106,2
"Stewart Island","Halfmoon Bay School, 6 Ayr Street",7,1,89,29,30,5,161,5
"Te Anau","Te Anau School Hall, 167 Milford Road",3,0,23,3,3,0,32,0
"Thornbury","Thornbury Primary School, 28 Muriel Street",12,3,106,3,23,2,149,1
"Tisbury","Tisbury School, 3 Boundary Road",28,4,143,9,69,5,258,0
"Tokanui","Tokanui School, 18 Duncan Street",10,1,191,3,10,7,222,1
"Waianiwa","Waianiwa School, 244 Argyle Otahuti Road",3,0,163,5,23,0,194,0
"Waikawa","Waikawa Public Hall, Larne Street",7,0,57,13,10,0,87,0
"Waimahaka","Waimahaka Community Centre, 15 Waimahaka-Fortification Road",7,1,86,2,10,1,107,2
"Wallacetown","Wallacetown School, 34 Mauchline Street",28,4,241,24,93,12,402,2
"Winton","Winton Primary School Hall, 16 Eglinton Street",6,0,26,4,12,2,50,0
"Woodend","Woodend Hall, 3 Sommerville Street",7,0,54,8,33,1,103,1
"Woodlands","Woodlands Full Primary School, 8 Woodlands-Morton Mains Road",13,1,206,6,20,5,251,1
"Wyndham","Wyndham Primary School, 40 Florence Street",14,2,286,19,47,19,387,4
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",501,78,4018,517,2377,145,7636,117
,"Special Votes BEFORE polling day",43,3,295,71,157,10,579,3
,"Special Votes On polling day",113,10,703,165,448,36,1475,23
,"Overseas Special Votes including Defence Force",5,7,115,54,63,4,248,3
,"Invercargill Total",2526,333,17526,2497,10044,719,33645,400
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34045
"Electorate Candidate Valid Votes","Party",,"DOWIE, Sarah Maree - majority 7482"
"BOND, Ria Iris Daphne",New Zealand First Party,2526,.0750780205
"DE RUYTER, Stephnie Jane",Democrats for Social Credit,333,.0098974588
"DOWIE, Sarah Maree",National Party,17526,.5209094962
"KENNEDY, David John",Green Party,2497,.0742160797
"SOPER, Lesley Frances",Labour Party,10044,.2985287561
"STORR, Laura Louisa ",Conservative,719,.0213701887
