Electorate Candidate and Party Votes Recorded at Each Polling Place
"West Coast-Tasman 59","Candidate Vote Details"
,,"AUCHINVOLE, Christopher John","BLIGHT, Derek Montgomery","DAVIES, Richard James","GILL, Kevin John","HOLLAND, Lewis","O'CONNOR, Damien Peter","OSBORNE, Milton John","WILKINSON, Steven Crawford George","Total Valid Candidate Votes","Informal Candidate Votes"
"Mapua","Mapua School, 4 Stafford Drive",441,10,87,5,7,573,17,12,1152,6
"Marahau","Outdoor Education Ctre, Sandy Bay Rd",30,0,22,0,1,75,0,1,129,0
"Maruia","Maruia School, Station Creek",36,1,2,0,0,12,0,0,51,0
"Moana","Lake Brunner School, Ahau St",108,0,4,3,0,35,2,2,154,2
"Motueka","Motueka South School, 450 High St",292,15,31,13,9,474,14,9,857,11
,"Parklands School, 9 - 19 Pah St",471,23,78,24,15,960,13,12,1596,35
,"Salvation Army Hall, 8 Greenwood St",225,13,36,8,7,374,17,14,694,11
"Motupiko","Quinney's Bush Motorcamp, SH 6",73,2,2,1,0,26,2,0,106,1
"Motupipi","Motupipi School, RD1 Takaka",71,4,31,1,2,136,6,5,256,3
"Murchison","Murchison Area School, Waller St",187,1,14,5,3,182,9,5,406,2
"Nelson Creek","Nelson Creek Hall, Gordons Rd",34,1,0,1,1,14,15,3,69,0
"Ngahere","Ngahere Hall, SH 7",74,0,3,1,3,22,15,1,119,0
"Ngatimoti","Ngatimoti School, Greenhill Rd RD1",58,0,23,2,3,133,5,1,225,6
"Onekaka","Onekaka Hall, SH 60",24,1,37,0,0,88,3,13,166,0
"Pakawau","Pakawau Public Hall, RD1 Pakawau Rd ",46,2,9,0,0,39,3,3,102,1
"Paringa","Mr & Mrs Tony Condon's Residence",13,0,1,0,0,2,0,1,17,0
"Paroa","Paroa School, Main South Rd",278,5,2,1,10,177,10,3,486,6
"Pohara","Pohara Motor Camp",63,0,24,5,2,118,3,6,221,1
"Pokororo","Pokororo Public Hall, Westbank Rd",18,1,29,1,0,60,3,1,113,0
"Punakaiki","Punakaiki Beach Camp, SH 6",27,0,9,0,0,41,0,0,77,0
"Puramahoi","Public Hall, Takaka-Collingwood Hwy",40,3,15,2,1,43,0,3,107,1
"Redwood Valley","Redwood Valley Hall, RD1 Richmond",94,5,9,1,2,70,4,0,185,3
"Reefton","Reefton Area School, Mace St",119,4,10,0,4,91,9,5,242,1
,"Reefton Community Centre",114,1,6,3,6,122,6,5,263,0
,"Reefton Hospital, Broadway",39,0,0,0,8,57,1,0,105,4
"Richmond","Tasman District Council Office, Queen St",48,0,8,2,1,55,3,3,120,2
"Riwaka","Riwaka Memorial Hall, Main Rd",108,7,14,1,1,136,2,7,276,3
,"Riwaka School, 22 School Rd",119,0,20,1,4,216,6,6,372,0
"Ross","Ross School, Moorhouse St",111,0,2,1,2,73,3,3,195,3
,"Waitaha Hall, Waitaha Valley",25,0,1,0,0,5,0,0,31,0
"Rotomanu","Rotomanu Hall, Lake Brunner Rd",41,0,3,0,1,12,0,0,57,1
"Runanga","Runanga School, McGowan St",133,1,7,2,14,218,13,8,396,6
"Seddonville","Seddonville Bowling Club",31,0,6,0,1,29,2,2,71,0
"Sergeants Hill","Sergeants Hill Hall, Westport",43,0,2,1,1,42,1,3,93,0
"Springs Junction","1st Aid Centre, Springs Junction",17,0,0,0,0,5,0,1,23,0
"Stanley Brook","Stanley Brook Hall, Motueka Valley Hwy",30,2,2,3,0,23,0,1,61,0
"Tadmor","Hen House, Tadmor Valley Rd ",61,0,4,0,0,50,3,1,119,0
"Takaka","Central Takaka School, RD1",31,3,13,0,0,70,4,7,128,1
,"East Takaka School, RD1",38,0,6,0,0,35,0,0,79,0
,"Golden Bay High School, 12 Waitapu Rd",79,9,28,0,3,179,10,5,313,4
,"Tasman District Council Office, 78 Commercial St",199,5,65,4,5,332,4,32,646,5
,"Upper Takaka Community Hall, SH",22,0,7,0,0,36,0,0,65,0
"Tapawera","Taparewa Area School, Main Rd",112,3,10,3,3,142,4,2,279,5
"Tasman","Tasman School, Upper Moutere",155,0,14,2,4,171,7,4,357,2
"Taylorville","Taylorville Fire Station, 704 Taylorville Rd ",46,2,3,1,0,58,8,1,119,1
"Totara Flat","Awahono School, Totara Flat",29,0,1,1,0,16,4,0,51,0
"Tutaki","Garard Residence, Tutaki Valley",28,1,1,0,0,10,0,0,40,0
"Umukuri","Umukuri Brooklyn School",97,2,19,3,0,140,2,4,267,3
"Upper Moutere","Mahana School, School Rd",83,5,15,0,1,93,10,1,208,0
,"Upper Moutere School, Main Rd",186,1,40,1,2,217,6,0,453,5
"Waimangaroa","Waimangaroa School, Stewart St",58,1,7,5,2,82,9,3,167,1
"Waimea West","Waimea West Public Hall ",82,3,2,0,0,31,1,1,120,1
"Westport","IHC Buller Branch, 149 Derby St",56,0,2,0,2,132,1,3,196,3
,"Kawatiri Maori Women's Welfare League, 1 Lyndhurst St",48,1,4,1,2,144,3,2,205,4
,"St Canice's School, cnr Brougham & Derby Sts",214,2,5,6,9,320,12,7,575,6
,"Westport Courthouse, Wakefield St",192,2,16,5,5,313,5,12,550,10
,"Westport North School, Cobden St",148,5,11,4,13,332,8,8,529,4
,"Westport South School, Derby St",108,0,1,2,6,212,2,5,336,7
"Whataroa","Whataroa Courthouse, Main Rd",95,2,1,1,2,48,7,4,160,2
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",75,4,3,2,1,203,4,1,293,18
,"Ordinary Votes BEFORE polling day",1077,34,126,11,23,1117,42,38,2468,28
,"Special Votes BEFORE polling day",138,4,36,5,5,194,11,14,407,6
,"Special Votes On polling day",525,9,188,13,6,715,24,43,1523,22
,"Overseas Special Votes including defence force",88,0,37,4,1,129,2,3,264,2
,"West Coast-Tasman Total",13024,314,1526,251,358,15178,658,515,31824,354
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32178
"Electorate Candidate Valid Votes","Party",,"O'CONNOR, Damien Peter - majority 2154"
"AUCHINVOLE, Christopher John",National Party,13024,.4092508798
"BLIGHT, Derek Montgomery",Christian Heritage NZ,314,.0098667672
"DAVIES, Richard James",Green Party,1526,.0479512318
"GILL, Kevin John",ACT New Zealand,251,.0078871292
"HOLLAND, Lewis",Jim Anderton's Progressive,358,.0112493715
"O'CONNOR, Damien Peter",Labour Party,15178,.4769356461
"OSBORNE, Milton John",United Future New Zealand,658,.0206762192
"WILKINSON, Steven Crawford George",Aotearoa Legalise Cannabis Party,515,.0161827552
