Electorate Candidate Votes Recorded at Each Voting Place
"Waikato 56","Candidate Vote Details"
,,"BURROW, Michael Ian","DOBBS, Brian Raymond","GREER, Christine","RANSOM, Katherine Elizabeth","STEWART, Barbara Joy","TISCH, William Lindsay ","Total Valid Candidate Votes","Informal Candidate Votes"
"Waiuku","View Road School, 16 View Road  ",1,2,7,0,0,25,35,1
,"Waiuku College, 43 Constable Road",0,5,11,1,12,45,74,0
,"Waiuku Primary School, George Street",0,12,16,1,16,95,140,0
"Walton","Walton School, Main Road",4,5,19,1,13,183,225,0
"Wardville","Wairere School, Wardville Road",1,2,5,1,4,108,121,0
"Whangamata ","Whangamata Memorial Hall, 328 Port Road",0,1,5,0,1,36,43,0
"Whitikahu","Whitikahu School, 763 Whitikahu Road",2,4,28,0,16,174,224,3
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",61,354,1640,48,800,5602,8505,118
,"Special Votes BEFORE polling day",6,25,166,2,77,486,762,11
,"Special Votes On polling day",26,94,499,13,211,1365,2208,52
,"Overseas Special Votes including Defence Force",3,10,90,2,12,189,306,9
,"Waikato Total",290,1442,6742,172,3330,22911,34887,421
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35308
"Electorate Candidate Valid Votes","Party",,"TISCH, William Lindsay  - majority 16169"
"BURROW, Michael Ian",ACT New Zealand,290,.008312552
"DOBBS, Brian Raymond",Conservative,1442,.041333448
"GREER, Christine",Labour Party,6742,.1932525009
"RANSOM, Katherine Elizabeth",Democrats for Social Credit,172,.0049302032
"STEWART, Barbara Joy",New Zealand First Party,3330,.0954510276
"TISCH, William Lindsay ",National Party,22911,.6567202683
