Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch Central 4","Candidate Vote Details"
,,"BAGCHI, Somnath Sarkar","BEAVEN, Andrew John","BRITNELL, Michael Allan","BURNS, Brendon","CLARK, Byron Charles","KLEIS, Greg","McLAUCHLAN, Jan Ailsa","SEVERIN, Toni Gae","WAGNER, Nicola Joanne","Total Valid Candidate Votes","Informal Candidate Votes"
,"Overseas Special Votes including defence force",4,0,0,186,4,1,67,4,223,489,5
,"Christchurch Central Total",598,353,487,14078,164,103,2708,482,13143,32116,306
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32422
"Electorate Candidate Valid Votes","Party",,"BURNS, Brendon - majority 935"
"BAGCHI, Somnath Sarkar",Jim Anderton's Progressive,598,.0186200025
"BEAVEN, Andrew John",Kiwi Party,353,.0109914062
"BRITNELL, Michael Allan",Aotearoa Legalise Cannabis Party,487,.0151637813
"BURNS, Brendon",Labour Party,14078,.4383484867
"CLARK, Byron Charles",Workers Party,164,.005106489
"KLEIS, Greg",Alliance,103,.0032071242
"McLAUCHLAN, Jan Ailsa",Green Party,2708,.0843193424
"SEVERIN, Toni Gae",ACT New Zealand,482,.0150080957
"WAGNER, Nicola Joanne",National Party,13143,.4092352721
