Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rakaia 43","Candidate Vote Details"
,,"BARR, Andrew Graeme ","CONNELL, Brian David","DAVIDSON, Brian Matthew","MAIN, Philippa Ruth","MATHERS, Mojo Celeste","MILNE, Tony Robert","Total Valid Candidate Votes","Informal Candidate Votes"
,"Hospital Votes",1,100,11,8,2,86,208,11
,"Ordinary Votes BEFORE polling day",55,1264,80,51,81,602,2133,17
,"Special Votes BEFORE polling day",3,48,1,4,5,32,93,2
,"Special Votes On polling day",63,1121,61,55,149,624,2073,24
,"Overseas Special Votes including defence force",9,114,6,3,29,84,245,1
,"Rakaia Total",1172,20950,1209,796,1631,10502,36260,381
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36641
"Electorate Candidate Valid Votes","Party",,"CONNELL, Brian David - majority 10448"
"BARR, Andrew Graeme ",United Future New Zealand,1172,.032322118
"CONNELL, Brian David",National Party,20950,.5777716492
"DAVIDSON, Brian Matthew",ACT New Zealand,1209,.0333425262
"MAIN, Philippa Ruth",Jim Anderton's Progressive,796,.0219525648
"MATHERS, Mojo Celeste",Green Party,1631,.044980695
"MILNE, Tony Robert",Labour Party,10502,.2896304468
