Electorate Candidate Votes Recorded at Each Voting Place
"Tukituki 54","Candidate Vote Details"
,,"FOSS, Craig","JENKINSON, Stephen ","LENNOX, Kenneth Duncan","LORCK, Anna Louise","MANNING, Romana Lea","PERLEY, Christopher John Keith","RYAN, Richard Francis","Total Valid Candidate Votes","Informal Candidate Votes"
"Raureka","Ebbett Park School Hall, 600 Oliphant Road",164,14,4,179,6,16,3,386,3
,"Raureka School Hall, 916 Gordon Road",372,84,3,409,6,35,2,911,11
"Sherenden","Sherenden School, 2129 Taihape Road",102,2,0,24,1,4,1,134,2
"Springhill","Springhill Community Hall, 1017 Wakarara Road",46,4,0,6,0,0,0,56,1
"Taradale","Taradale Primary School, 10 Church Road",30,8,0,16,1,4,0,59,0
"Te Awanga","Te Awanga Community Centre, 1 Wellwood Terrace",198,15,1,94,5,47,2,362,3
"Tikokino","Tikokino School, 43 Owen Street",147,13,1,35,0,20,0,216,1
"Twyford","Twyford School, 142 Twyford Road",227,15,0,40,1,18,0,301,1
"Waimarama","Mr Huggett's Garage, Redbridge, 585 Waimarama Road",128,4,0,50,1,18,0,201,2
,"Waimarama School, 27 Taupunga Road",56,3,0,37,1,16,0,113,0
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",61,8,1,28,1,11,0,110,2
,"Waipawa School, Technology Block, 6 Harker Street",25,5,0,10,0,2,0,42,0
"Waipukurau","Waipukurau School Hall, St Marys Road",75,8,1,13,0,8,0,105,1
"Waiwhare","Waiwhare Community Centre, 27 River Road",43,5,0,8,0,0,1,57,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",5232,513,46,2892,44,426,38,9191,97
,"Special Votes BEFORE polling day",505,32,4,316,14,77,3,951,13
,"Special Votes On polling day",876,92,12,596,42,201,3,1822,17
,"Overseas Special Votes including Defence Force",231,20,4,104,3,50,2,414,5
,"Tukituki Total",18537,1920,163,12047,355,2156,97,35275,368
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35643
"Electorate Candidate Valid Votes","Party",,"FOSS, Craig - majority 6490"
"FOSS, Craig",National Party,18537,.5254996456
"JENKINSON, Stephen ",Conservative,1920,.0544294826
"LENNOX, Kenneth Duncan",ACT New Zealand,163,.0046208363
"LORCK, Anna Louise",Labour Party,12047,.3415166549
"MANNING, Romana Lea",Aotearoa Legalise Cannabis Party,355,.0100637845
"PERLEY, Christopher John Keith",Green Party,2156,.0611197732
"RYAN, Richard Francis",Democrats for Social Credit,97,.0027498228
