Electorate Candidate and Party Votes Recorded at Each Polling Place
"Coromandel 9","Candidate Vote Details"
,,"ANDERSON, Annette Jean","BASSETT, Raymond George","FITZSIMONS, Jeanette Mary","FOOTE, John Edward","GOUDIE, Sandra Anne","JOHNSTON, Peter Tiki","PURNELL, Max Andrew","ROBERTSON, Stuart Lee","Total Valid Candidate Votes","Informal Candidate Votes"
,"Thames South School, cnr Grey & Rolleston Streets",11,4,119,28,395,8,297,8,870,5
"Turua","Turua School, Hauraki Road",1,2,39,10,288,1,110,6,457,2
"Waihi","Waihi East School, Donnelly Street",6,1,78,30,256,5,150,13,539,7
,"Waihi Memorial Hall, Seddon Street",17,9,282,116,576,21,415,21,1457,15
,"Waihi South School, Moresby Avenue",10,3,122,37,260,4,190,7,633,8
"Waihi Beach","Waihi Beach School, Hillview Road",7,4,172,66,522,5,284,7,1067,8
"Waikino","Victoria Hall, SH2 Main Road",2,1,79,11,137,2,64,1,297,0
"Waitakaruru","Waitakaruru School, Canal West Road",2,0,10,3,185,1,57,1,259,1
"Whakamarama","Whakamarama Public Hall, Whakamarama Road",1,1,90,30,217,4,39,4,386,0
"Whangamata","Whangamata Memorial Hall, 620 Port Road",9,13,319,92,1077,10,513,12,2045,15
"Whenuakite","Whenuakite School, State Highway 25",0,1,19,0,94,1,28,2,145,0
"Whiritoa","Whiritoa Emergency Management Centre, Beach Road",1,1,22,7,56,2,33,1,123,1
"Whitianga","Mercury Bay Area School, South Highway",7,0,84,21,355,13,149,4,633,3
,"Mercury Bay Bowling Club, 92 Cook Drive",6,1,48,11,342,4,174,7,593,3
,"Whitianga Presbytarian Church, Owen Street",2,0,87,21,292,12,126,8,548,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,5,20,26,96,1,122,3,276,10
,"Ordinary Votes BEFORE polling day",16,9,414,156,1655,23,677,34,2984,14
,"Special Votes BEFORE polling day",4,2,80,17,169,3,75,6,356,2
,"Special Votes On polling day",26,19,514,107,940,21,396,25,2048,25
,"Overseas Special Votes including defence force",1,3,107,13,203,1,54,3,385,1
,"Coromandel Total",280,172,5554,1792,19064,274,8486,385,36007,260
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36267
"Electorate Candidate Valid Votes","Party",,"GOUDIE, Sandra Anne - majority 10578"
"ANDERSON, Annette Jean",Jim Anderton's Progressive,280,.0077762657
"BASSETT, Raymond George",ACT New Zealand,172,.0047768489
"FITZSIMONS, Jeanette Mary",Green Party,5554,.1542477852
"FOOTE, John Edward",New Zealand First Party,1792,.0497681006
"GOUDIE, Sandra Anne",National Party,19064,.5294526064
"JOHNSTON, Peter Tiki",Destiny New Zealand,274,.0076096315
"PURNELL, Max Andrew",Labour Party,8486,.2356763963
"ROBERTSON, Stuart Lee",United Future New Zealand,385,.0106923654
