Electorate Candidate Votes Recorded at Each Voting Place
"Hauraki-Waikato 65","Candidate Vote Details"
,,"CULLEN, Susan","GREENSILL, Angeline Elizabeth Ngahina","MAHUTA, Nanaia Cybele","Total Valid Candidate Votes","Informal Candidate Votes"
"Meremere","Meremere School, Heather Green Avenue",2,5,31,38,4
"Morrinsville","David Street School, 45 David Street",11,9,36,56,3
,"Kai-a-te-mata Marae, Kereone Road",9,11,42,62,5
,"Methodist Church Hall, 318 Thames Street",11,5,24,40,0
,"Morrinsville College, Alexandra Avenue",7,1,9,17,0
"Motumaoho","Motumaoho School, 2085 State Highway 26",2,0,4,6,1
"Newstead","Newstead School, 429 Morrinsville Road",2,2,11,15,0
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",37,20,167,224,6
,"Turangawaewae Marae, River Road",29,38,209,276,7
,"Waipa School, Kia Toa Road",16,26,125,167,8
"Ohinewai","Ohinewai School, 39 Ohinewai South Road",1,0,4,5,1
"Okauia","Okauia Hall, 375 Okauia Springs Road",5,2,3,10,1
"Onewhero","Onewhero Area School, Hall Road",2,0,10,12,0
"Orini","Orini Combined School, 1389 Orini Road ",3,2,8,13,0
"Pokeno","Pokeno School, 54 Pokeno Road",7,0,23,30,3
"Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park, Maunsell Road",5,7,19,31,3
"Pukekawa","Pukekawa School, 803 Highway 22",8,1,10,19,0
"Pukemiro","Pukemiro School, 4 John Avenue",2,1,10,13,0
"Puketaha","Puketaha School, 395 Puketaha Road",1,0,3,4,2
"Rangiriri","Rangiriri School, 39 Rangiriri Road",5,4,9,18,0
"Ruawaro","Central Districts Memorial Hall, 757 Hetherington Roads",2,1,4,7,0
"Tamahere","Tamahere School, 37 Devine Road",8,3,10,21,3
"Taupiri","Taupiri School, Green Lane Road",6,3,40,49,0
"Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",10,4,16,30,1
"Te Kauwhata","Te Kauwhata College, Waerenga Road",11,2,48,61,6
"Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",12,4,26,42,4
"Te Poi","Te Poi School, 3 Stopford Road",4,3,4,11,1
"Tuakau","Tuakau Primary School, 6 School Road",12,10,58,80,4
,"Tuakau Town Hall, George Street",26,14,99,139,5
"Waerenga","Waerenga School, 1066 Taniwha Road",4,3,1,8,0
"Waharoa","Waharoa School, 32 Ward Street",22,23,70,115,8
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",0,5,7,12,1
"Waiterimu","Waiterimu School, 166 Waiu Road",2,3,2,7,1
"Wardville","Wairere School, Wardville Road",5,0,1,6,1
"Whitikahu","Whitikahu School, 763 Whitikahu Road",4,1,5,10,0
,"Voting places where less than 6 votes were taken",52,11,68,131,11
,"Ordinary Votes BEFORE polling day",1061,858,3042,4961,162
,"Special Votes BEFORE polling day",171,161,510,842,31
,"Special Votes On polling day",415,289,1028,1732,82
,"Overseas Special Votes including Defence Force",40,31,95,166,3
,"Hauraki-Waikato Total",4496,3116,12191,19803,742
,,,,"Valid Candidate Votes plus Informal Candidate Votes",20545
"Electorate Candidate Valid Votes","Party",,"MAHUTA, Nanaia Cybele - majority 7695"
"CULLEN, Susan",Māori Party,4496,.2270363076
"GREENSILL, Angeline Elizabeth Ngahina",MANA Movement,3116,.1573498965
"MAHUTA, Nanaia Cybele",Labour Party,12191,.6156137959
