Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch East 6","Candidate Vote Details"
,,"BOYD, Lynda Margaret","CHAPMAN, Kyle Shane","DALZIEL, Lianne Audrey","HOPKINSON, Paul Barry","McCAMMON, Mary Anyta","O'CONNELL, Kevin Patrick","PETERS, Andre John","ROUND, David John","SILCOCK, Karen Michelle","WILSON, Dianne Lesley","Total Valid Candidate Votes","Informal Candidate Votes"
"Ouruhia","Model School Library, 21 Turners Road",0,2,58,0,1,2,2,80,4,2,151,2
"Parklands","Parkview School Hall, 10 Chadbury Street",11,3,1220,2,61,10,23,590,53,79,2052,32
"Queenspark","School Library, 222 Queenspark Drive",4,1,761,0,43,3,19,482,25,64,1402,10
"Shirley","Hammersley Park School, 102 Quinns Road",3,1,231,1,15,1,6,118,9,6,391,5
,"Shirley Community Centre, Shirley Road (cnr Slater Street)",1,1,114,0,6,0,5,59,4,4,194,3
,"Shirley Intermediate School Hall, North Parade (cnr Shirley Road)",0,1,281,0,24,5,12,154,11,10,498,2
"South New Brighton","South Brighton Community Centre, 74 Beatty Street",13,1,1150,1,198,23,20,514,47,37,2004,19
,"South Brighton Croquet Club Rooms, 132 Union Street",1,1,298,0,67,9,3,74,5,18,476,3
"Spencerville","Public Hall, 6 Heyders Road",2,2,152,3,13,3,4,128,4,16,327,1
"Wainoni","Methodist Church Lounge, 878 Avonside Drive",1,0,286,0,16,4,4,89,18,22,440,10
,"Ottawa Gardens Pre-School, 49 Ottawa Road",2,1,261,0,15,2,4,62,13,20,380,4
,"School Hall, 115 Eureka Street",1,1,246,1,20,3,2,56,10,13,353,13
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,2,307,0,5,0,4,111,10,11,453,30
,"Ordinary Votes BEFORE polling day",6,1,1167,1,72,11,16,581,44,67,1966,22
,"Special Votes BEFORE polling day",1,0,192,0,8,9,1,56,5,1,273,6
,"Special Votes On polling day",10,6,1309,8,187,53,30,558,51,92,2304,53
,"Overseas Special Votes including defence force",1,0,129,0,37,1,1,59,2,8,238,2
,"Christchurch East Total",167,63,20969,43,1698,299,401,8996,926,1205,34767,424
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35191
"Electorate Candidate Valid Votes","Party",,"DALZIEL, Lianne Audrey - majority 11973"
"BOYD, Lynda Margaret",Alliance,167,.0048034055
"CHAPMAN, Kyle Shane",Direct Democracy Party,63,.0018120632
"DALZIEL, Lianne Audrey",Labour Party,20969,.6031294043
"HOPKINSON, Paul Barry",Anti-Capitalist Alliance,43,.001236805
"McCAMMON, Mary Anyta",Green Party,1698,.0488394167
"O'CONNELL, Kevin Patrick",Aotearoa Legalise Cannabis Party,299,.0086001093
"PETERS, Andre John",ACT New Zealand,401,.0115339258
"ROUND, David John",National Party,8996,.2587511146
"SILCOCK, Karen Michelle",Jim Anderton's Progressive,926,.0266344522
"WILSON, Dianne Lesley",United Future New Zealand,1205,.0346593034
